name,date,high,low,close,volume
Aave-Token,2024-11-17,172.0006,159.9924,161.9185,460012253.8
Aave-Token,2024-11-18,172.2015,161.7399,171.0031,421485754.9
Aave-Token,2024-11-19,172.4435,159.3712,162.2074,459047438.3
Aave-Token,2024-11-20,166.6095,153.7981,157.0219,448719394.0
Aave-Token,2024-11-21,170.2796,152.5973,169.3161,499149623.2
Aave-Token,2024-11-22,172.3017,162.048,172.3017,556299695.9
Aave-Token,2024-11-23,183.4743,170.2276,175.0574,653634046.7
Aave-Token,2024-11-24,182.9701,162.8292,171.5267,689241142.4
Aave-Token,2024-11-25,187.4541,166.9358,180.9076,718135870.7
Aave-Token,2024-11-26,183.7726,166.1695,181.6038,877602073.0
Aave-Token,2024-11-27,210.3272,181.3791,210.2816,1001116822.0
Aave-Token,2024-11-28,209.9721,198.5411,200.381,899195367.8
Aave-Token,2024-11-29,201.9731,195.5982,198.975,479937717.0
Aave-Token,2024-11-30,211.8161,198.0271,211.8161,547085815.2
Aave-Token,2024-12-01,214.2714,203.2804,208.9176,621412169.2
Aave-Token,2024-12-02,239.9967,205.7078,235.0909,1032178131.0
Aave-Token,2024-12-03,248.2783,223.2571,241.5485,1533091655.0
Aave-Token,2024-12-04,271.8264,237.0095,255.9061,1433369305.0
Aave-Token,2024-12-05,265.2673,243.3899,248.2355,1322778092.0
Aave-Token,2024-12-06,289.8977,247.5594,281.2082,1128537350.0
Aave-Token,2024-12-07,296.5264,278.7533,282.5844,1166499088.0
Aave-Token,2024-12-08,284.8501,275.0223,283.5736,650818298.7
Aave-Token,2024-12-09,283.2692,236.3971,259.8346,765772221.4
Aave-Token,2024-12-10,287.2652,249.6949,273.3805,1837832180.0
Aave-Token,2024-12-11,306.2755,260.724,301.1988,1730154695.0
Aave-Token,2024-12-12,384.7069,295.6374,368.174,2967634971.0
Aave-Token,2024-12-13,388.4454,353.6882,376.6115,3445337632.0
Aave-Token,2024-12-14,393.9018,361.7297,365.7712,2261122183.0
Aave-Token,2024-12-15,378.8941,355.7266,372.2544,1634829233.0
Aave-Token,2024-12-16,398.0988,361.9676,378.6946,2168473023.0
Aioz-Network,2021-04-03,2.606515741,1.888756213,2.197046197,129064314.2
Aioz-Network,2021-04-04,2.434732247,1.858025452,1.859146067,26506068.46
Aioz-Network,2021-04-05,1.969537249,1.576952334,1.805093091,18318661.8
Aioz-Network,2021-04-06,1.958265121,1.461429884,1.874989215,14309938.21
Aioz-Network,2021-04-07,2.001528008,1.515585854,1.799577031,20233246.89
Aioz-Network,2021-04-08,2.090326235,1.763185606,2.0394086,15381740.15
Aioz-Network,2021-04-09,2.090955044,1.668962294,1.782599301,12787361.52
Aioz-Network,2021-04-10,1.813468831,1.610266937,1.688192283,8764273.526
Aioz-Network,2021-04-11,1.700065553,1.535617332,1.570356276,7600168.018
Aioz-Network,2021-04-12,1.806103082,1.570356276,1.770999245,6914442.362
Aioz-Network,2021-04-13,1.770999245,1.551463843,1.551463843,7457547.922
Aioz-Network,2021-04-14,1.567265796,1.31953496,1.424811099,7500599.703
Aioz-Network,2021-04-15,1.514504179,1.375315306,1.420384111,6430286.076
Aioz-Network,2021-04-16,1.420384111,1.118749317,1.171901213,4858807.457
Aioz-Network,2021-04-17,1.214060655,1.139654648,1.173175014,4421035.616
Aioz-Network,2021-04-18,1.173175014,0.967208675,1.152691388,3608433.708
Aioz-Network,2021-04-19,1.288537045,1.052650512,1.052650512,5075571.351
Aioz-Network,2021-04-20,1.089710962,0.941026023,1.089710962,4918476.244
Aioz-Network,2021-04-21,1.159888344,1.016687306,1.016687306,5091225.087
Aioz-Network,2021-04-22,1.131968957,0.942907732,0.990979971,4349234.345
Aioz-Network,2021-04-23,1.324360183,0.855711151,1.324360183,4549658.808
Aioz-Network,2021-04-24,1.324360183,1.133139653,1.263686719,5803771.168
Aioz-Network,2021-04-25,1.373104641,1.137332001,1.166898001,3186686.868
Aioz-Network,2021-04-26,1.446104232,1.215889518,1.270737164,4134424.466
Aioz-Network,2021-04-27,1.379697775,1.247171072,1.276268129,3103189.781
Aioz-Network,2021-04-28,1.281779259,1.085203706,1.085203706,2313064.31
Aioz-Network,2021-04-29,1.214047847,1.0703763,1.20763859,2766889.0
Aioz-Network,2021-04-30,1.407492727,1.170874585,1.407492727,4110486.031
Aioz-Network,2021-05-01,1.494889968,1.236100639,1.334463294,3721937.962
Aioz-Network,2021-05-02,1.334463294,0.854391857,1.213111105,3969484.884
Aioz-Network,2021-05-03,1.265332274,1.065248853,1.243969546,7422039.556
Aioz-Network,2021-05-04,1.243969546,1.026005189,1.026005189,4177104.227
Aioz-Network,2021-05-05,1.134711301,0.990382158,1.010559938,3591846.102
Aioz-Network,2021-05-06,1.027794218,0.964352904,1.005724509,3730870.764
Aioz-Network,2021-05-07,1.005724509,0.935512261,0.988179347,3161492.874
Aioz-Network,2021-05-08,1.002271252,0.969399864,0.97686008,1876985.755
Aioz-Network,2021-05-09,1.01531706,0.965277092,1.000242676,1100515.488
Aioz-Network,2021-05-10,1.008877744,0.86037033,0.86037033,1215407.705
Aioz-Network,2021-05-11,0.907345302,0.791250712,0.886161765,1398076.397
Aioz-Network,2021-05-12,0.995843326,0.829362959,0.829362959,1817221.438
Aioz-Network,2021-05-13,0.883547568,0.777627337,0.780155606,1532645.484
Aioz-Network,2021-05-14,0.889838656,0.780155606,0.846703308,1654308.934
Aioz-Network,2021-05-15,0.859188478,0.702225952,0.702225952,1211610.103
Aioz-Network,2021-05-16,0.728481732,0.640560248,0.697024955,1329334.477
Aioz-Network,2021-05-17,0.875321636,0.647010628,0.831498379,2340490.109
Aioz-Network,2021-05-18,0.916380014,0.786116421,0.81811024,2868366.788
Aioz-Network,2021-05-19,0.81811024,0.442282659,0.550861115,2140782.096
Aioz-Network,2021-05-20,0.586473428,0.457278749,0.538094036,1266987.831
Aioz-Network,2021-05-21,0.54473824,0.369773773,0.403872938,950220.4453
Aioz-Network,2021-05-22,0.41472926,0.355670002,0.376081956,913025.848
Aioz-Network,2021-05-23,0.380773113,0.258542733,0.285280309,690973.4375
Aioz-Network,2021-05-24,0.411581175,0.282907861,0.364813031,1214835.524
Aioz-Network,2021-05-25,0.394534555,0.336727587,0.360608246,1191419.459
Aioz-Network,2021-05-26,0.391770518,0.359896577,0.387996096,678370.2337
Aioz-Network,2021-05-27,0.404767306,0.369374754,0.393715215,501802.4982
Aioz-Network,2021-05-28,0.393715215,0.318578182,0.322004479,380485.752
Aioz-Network,2021-05-29,0.337259319,0.28451132,0.287015438,278910.8383
Aioz-Network,2021-05-30,0.354476546,0.278246021,0.354476546,300012.0357
Aioz-Network,2021-05-31,0.408987646,0.323403619,0.399449064,370992.2379
Aioz-Network,2021-06-01,0.410322059,0.382978186,0.384498031,358309.516
Aioz-Network,2021-06-02,0.518897355,0.384498031,0.491631846,396149.0515
Aioz-Network,2021-06-03,0.523594946,0.483090777,0.503335122,508128.3488
Aioz-Network,2021-06-04,0.503335122,0.403636967,0.403636967,521100.7678
Aioz-Network,2021-06-05,0.461750486,0.399336987,0.399336987,392174.9125
Aioz-Network,2021-06-06,0.42779053,0.399336987,0.418286039,308167.7311
Aioz-Network,2021-06-07,0.43874676,0.366114351,0.366114351,261593.5732
