name,month_year,market_cap
Bitcoin,2010-07,223851.17902666665
Bitcoin,2010-08,239743.5253870968
Bitcoin,2010-09,246883.67944333333
Bitcoin,2010-10,467561.71757741936
Bitcoin,2010-11,1189130.8814766668
Bitcoin,2010-12,1189815.562783871
Bitcoin,2011-01,1899617.9407419355
Bitcoin,2011-02,5000805.788857142
Bitcoin,2011-03,4850165.213548387
Bitcoin,2011-04,7418529.350866666
Bitcoin,2011-05,38823803.56516129
Bitcoin,2011-06,118084397.878
Bitcoin,2011-07,95512726.23419355
Bitcoin,2011-08,70323438.01580645
Bitcoin,2011-09,43003880.73633333
Bitcoin,2011-10,27045293.027741935
Bitcoin,2011-11,20517692.824666668
Bitcoin,2011-12,27468891.62612903
Bitcoin,2012-01,49567663.1683871
Bitcoin,2012-02,42524844.89275862
Bitcoin,2012-03,41940212.338064514
Bitcoin,2012-04,43779429.70566667
Bitcoin,2012-05,45647166.41419355
Bitcoin,2012-06,55711094.538
Bitcoin,2012-07,75033954.53870967
Bitcoin,2012-08,106001861.84967743
Bitcoin,2012-09,115491789.25933334
Bitcoin,2012-10,119154305.69032258
Bitcoin,2012-11,119390690.94666667
Bitcoin,2012-12,140989253.2451613
Bitcoin,2013-01,166454278.3
Bitcoin,2013-02,280722478.8964286
Bitcoin,2013-03,627466816.8096774
Bitcoin,2013-04,1437172157.76
LiteCoin,2013-04,75513312.905
Bitcoin,2013-05,1337450336.483871
LiteCoin,2013-05,57164143.771612905
Bitcoin,2013-06,1221731528.2333333
LiteCoin,2013-06,48529651.27166667
Bitcoin,2013-07,1030334975.2096775
LiteCoin,2013-07,55495908.84967741
Bitcoin,2013-08,1312854655.612903
LiteCoin,2013-08,55626811.09516129
Ripple,2013-08,40212074.25111111
Bitcoin,2013-09,1525798046.6333334
Ripple,2013-09,65753063.19133333
LiteCoin,2013-09,54785528.04066667
Bitcoin,2013-10,1862210801.903226
Ripple,2013-10,63323395.88741936
LiteCoin,2013-10,46181629.256451614
Bitcoin,2013-11,6373447844.6
LiteCoin,2013-11,233175886.82000002
Ripple,2013-11,95955379.76166667
Bitcoin,2013-12,11116164997.870968
LiteCoin,2013-12,723717697.3903226
Ripple,2013-12,276138233.9774194
Bitcoin,2014-01,10351628693.064516
LiteCoin,2014-01,602747132.8935484
Ripple,2014-01,173936591.6483871
Dogecoin,2014-01,27400044.021483872
Bitcoin,2014-02,8253573976.785714
LiteCoin,2014-02,437900555.34999996
Ripple,2014-02,131901649.93642856
Dogecoin,2014-02,64366543.81285714
Bitcoin,2014-03,7431033341.0
LiteCoin,2014-03,417596126.6451613
Ripple,2014-03,105808125.8367742
Dogecoin,2014-03,47719088.68516129
Bitcoin,2014-04,5838813207.7
LiteCoin,2014-04,315881757.2733334
Ripple,2014-04,52771643.238
Dogecoin,2014-04,35949681.404
Bitcoin,2014-05,6180574545.354838
LiteCoin,2014-05,303883112.1903226
Ripple,2014-05,42723806.952903226
Dogecoin,2014-05,34540381.662258066
Monero,2014-05,2311573.7596363635
Bitcoin,2014-06,7943056475.0
LiteCoin,2014-06,299622506.62
Ripple,2014-06,32248358.776666664
Dogecoin,2014-06,28803525.539333336
Monero,2014-06,3729102.2935862066
Bitcoin,2014-07,8058256407.419354
LiteCoin,2014-07,243930446.5483871
Ripple,2014-07,37950071.940322585
Dogecoin,2014-07,20623293.029677417
Monero,2014-07,5214379.642774194
Bitcoin,2014-08,7056090725.741936
LiteCoin,2014-08,182864829.45483872
Ripple,2014-08,58945373.62709678
Dogecoin,2014-08,13450299.911935484
Monero,2014-08,5581410.53483871
Bitcoin,2014-09,5925669656.533334
LiteCoin,2014-09,154754411.56
Ripple,2014-09,139935167.98
Dogecoin,2014-09,24419945.754333332
Monero,2014-09,5716820.172733334
Bitcoin,2014-10,4880030876.387096
Ripple,2014-10,141442361.71290323
LiteCoin,2014-10,128733685.68064515
Dogecoin,2014-10,25726581.98580645
Monero,2014-10,3758650.9601935484
Bitcoin,2014-11,4946389489.633333
Ripple,2014-11,204122699.35666665
LiteCoin,2014-11,124625971.0
Dogecoin,2014-11,21820340.517666664
Monero,2014-11,2777264.4472666667
Bitcoin,2014-12,4651621491.193548
Ripple,2014-12,607661499.367742
LiteCoin,2014-12,110565975.19032258
Dogecoin,2014-12,19630214.267096773
Monero,2014-12,2159332.2112258063
Bitcoin,2015-01,3439655975.419355
Ripple,2015-01,553507491.1548387
LiteCoin,2015-01,64359346.02516129
Dogecoin,2015-01,15169581.521935483
Monero,2015-01,1924263.8069354838
Bitcoin,2015-02,3232857961.107143
Ripple,2015-02,438753839.02500004
LiteCoin,2015-02,66005360.77142858
Dogecoin,2015-02,14084008.157857144
Monero,2015-02,1812821.3525357142
Bitcoin,2015-03,3748315035.032258
Ripple,2015-03,328160390.5322581
LiteCoin,2015-03,69150890.9816129
Dogecoin,2015-03,13597728.640645161
Monero,2015-03,4395705.128451613
Bitcoin,2015-04,3302187046.633333
Ripple,2015-04,261973512.26000002
LiteCoin,2015-04,56893242.307333335
Dogecoin,2015-04,11058235.930133333
Monero,2015-04,5033784.0792
Bitcoin,2015-05,3361471540.483871
Ripple,2015-05,232276117.76129034
LiteCoin,2015-05,60807890.62580646
Dogecoin,2015-05,12091914.296516128
Monero,2015-05,3755764.9201290323
Bitcoin,2015-06,3390883258.4333334
Ripple,2015-06,299487998.73333335
LiteCoin,2015-06,95477489.17933334
Dogecoin,2015-06,17908906.770333335
Monero,2015-06,4024886.022566667
Bitcoin,2015-07,4016992294.322581
Ripple,2015-07,282166040.37741935
LiteCoin,2015-07,186240513.52903226
Dogecoin,2015-07,18826947.2716129
Monero,2015-07,4647610.836354839
Bitcoin,2015-08,3673362491.193548
Ripple,2015-08,257940353.3483871
LiteCoin,2015-08,153513468.64193547
Ethereum,2015-08,86718871.95791666
Dogecoin,2015-08,15150892.131290322
Bitcoin,2015-09,3418492524.633333
Ripple,2015-09,239358118.03
LiteCoin,2015-09,122394523.4
Ethereum,2015-09,72947566.38133334
Dogecoin,2015-09,12744404.902999999
Bitcoin,2015-10,3890822067.387097
Ripple,2015-10,166512803.0483871
LiteCoin,2015-10,134585045.2387097
Ethereum,2015-10,48279479.853225805
Dogecoin,2015-10,12309854.846129034
Bitcoin,2015-11,5175544613.333333
LiteCoin,2015-11,149122144.10333335
Ripple,2015-11,148076444.10666665
Ethereum,2015-11,69441216.51066667
