Name,Start,End,Open,High,Low,Close,Volume,Market Cap
Aave-Token,12/16/2024,12/17/2024,366.1654,398.0988,361.9676,378.6946,2168473023,5696567930
Aave-Token,12/15/2024,12/16/2024,367.8255,378.8941,355.7266,372.2544,1634829233,5511457967
Aave-Token,12/14/2024,12/15/2024,377.4117,393.9018,361.7297,365.7712,2261122183,5649122117
Aave-Token,12/13/2024,12/14/2024,365.6712,388.4454,353.6882,376.6115,3445337632,5529615234
Aave-Token,12/12/2024,12/13/2024,300.2098,384.7069,295.6374,368.174,2967634971,5316529271
Aave-Token,12/11/2024,12/12/2024,273.0263,306.2755,260.724,301.1988,1730154695,4206717924
Aave-Token,12/10/2024,12/11/2024,256.5492,287.2652,249.6949,273.3805,1837832180,4029224991
Aave-Token,12/9/2024,12/10/2024,281.369,283.2692,236.3971,259.8346,765772221.4,4038093473
Aave-Token,12/8/2024,12/9/2024,283.6774,284.8501,275.0223,283.5736,650818298.7,4204137743
Aave-Token,12/7/2024,12/8/2024,281.7119,296.5264,278.7533,282.5844,1166499088,4253200512
Aave-Token,12/6/2024,12/7/2024,247.5594,289.8977,247.5594,281.2082,1128537350,4000970921
Aave-Token,12/5/2024,12/6/2024,256.6784,265.2673,243.3899,248.2355,1322778092,3793756857
Aave-Token,12/4/2024,12/5/2024,240.6047,271.8264,237.0095,255.9061,1433369305,3781696714
Aave-Token,12/3/2024,12/4/2024,234.6975,248.2783,223.2571,241.5485,1533091655,3534830422
Aave-Token,12/2/2024,12/3/2024,209.5932,239.9967,205.7078,235.0909,1032178131,3327682537
Aave-Token,12/1/2024,12/2/2024,212.5621,214.2714,203.2804,208.9176,621412169.2,3101084559
Aave-Token,11/30/2024,12/1/2024,198.754,211.8161,198.0271,211.8161,547085815.2,3073331244
Aave-Token,11/29/2024,11/30/2024,200.8539,201.9731,195.5982,198.975,479937717,2983137724
Aave-Token,11/28/2024,11/29/2024,208.3161,209.9721,198.5411,200.381,899195367.8,3045320384
Aave-Token,11/27/2024,11/28/2024,182.0368,210.3272,181.3791,210.2816,1001116822,2923943775
Aave-Token,11/26/2024,11/27/2024,181.0525,183.7726,166.1695,181.6038,877602073,2631903696
Aave-Token,11/25/2024,11/26/2024,170.3777,187.4541,166.9358,180.9076,718135870.7,2666298809
Aave-Token,11/24/2024,11/25/2024,175.1878,182.9701,162.8292,171.5267,689241142.4,2586624747
Aave-Token,11/23/2024,11/24/2024,171.6145,183.4743,170.2276,175.0574,653634046.7,2637825002
Aave-Token,11/22/2024,11/23/2024,169.0962,172.3017,162.048,172.3017,556299695.9,2497970157
Aave-Token,11/21/2024,11/22/2024,157.2505,170.2796,152.5973,169.3161,499149623.2,2426650595
Aave-Token,11/20/2024,11/21/2024,161.8654,166.6095,153.7981,157.0219,448719394,2401881159
Aave-Token,11/19/2024,11/20/2024,172.4435,172.4435,159.3712,162.2074,459047438.3,2465866415
Aave-Token,11/18/2024,11/19/2024,162.3956,172.2015,161.7399,171.0031,421485754.9,2511541870
Aave-Token,11/17/2024,11/18/2024,168.9839,172.0006,159.9924,161.9185,460012253.8,2487511239
