Name,Start,End,Open,High,Low,Close,Volume,Market Cap
Binance-Coin,12/16/2024,12/17/2024,718.4802,729.0769,704.2827,719.9265,2156903814,1.05647E+11
Binance-Coin,12/15/2024,12/16/2024,715.3101,722.9925,702.056,721.3321,1605905646,1.05377E+11
Binance-Coin,12/14/2024,12/15/2024,727.1828,731.2021,704.2836,715.191,2440457203,1.0607E+11
Binance-Coin,12/13/2024,12/14/2024,705.2136,728.8553,697.4038,725.886,2790368138,1.05273E+11
Binance-Coin,12/12/2024,12/13/2024,711.0691,724.3355,699.2803,704.6166,2963934254,1.05454E+11
Binance-Coin,12/11/2024,12/12/2024,677.5692,710.8358,659.6837,709.6575,3655390004,1.01748E+11
Binance-Coin,12/10/2024,12/11/2024,684.5275,703.272,650.7415,675.7371,5683078231,1.00816E+11
Binance-Coin,12/9/2024,12/10/2024,741.7746,741.7746,665.0425,688.0952,2992645034,1.05743E+11
Binance-Coin,12/8/2024,12/9/2024,751.6038,757.4164,729.2914,744.0453,2529786215,1.09724E+11
Binance-Coin,12/7/2024,12/8/2024,731.8241,760.3325,731.8241,749.9149,3323668253,1.10073E+11
Binance-Coin,12/6/2024,12/7/2024,716.183,744.527,708.2794,731.5772,4505043761,1.07502E+11
Binance-Coin,12/5/2024,12/6/2024,738.7157,738.8063,697.2784,718.1156,7793251977,1.06939E+11
Binance-Coin,12/4/2024,12/5/2024,741.2197,792.4016,723.4756,738.3415,10330421613,1.11538E+11
Binance-Coin,12/3/2024,12/4/2024,647.3762,742.3571,626.4433,736.5313,3910835439,97607080155
Binance-Coin,12/2/2024,12/3/2024,656.1085,665.8949,629.8781,646.8849,2852783295,95043821298
Binance-Coin,12/1/2024,12/2/2024,654.1179,662.5575,645.9165,655.1015,2163833187,96646753648
Binance-Coin,11/30/2024,12/1/2024,653.6942,675.6108,648.2962,653.9501,2458072352,97091209590
Binance-Coin,11/29/2024,11/30/2024,654.201,662.6596,649.0558,653.7226,2394948448,96638177962
Binance-Coin,11/28/2024,11/29/2024,643.2722,661.4221,641.7249,653.9489,3275016402,96330245109
Binance-Coin,11/27/2024,11/28/2024,610.8892,645.7501,608.9248,644.3606,3017069375,92488942217
Binance-Coin,11/26/2024,11/27/2024,633.4402,644.7751,602.2203,613.4738,3589547898,92290562005
Binance-Coin,11/25/2024,11/26/2024,655.1353,669.9889,628.4316,635.6093,3952243682,96129701963
Binance-Coin,11/24/2024,11/25/2024,649.0884,679.7686,638.2605,657.3277,4554908937,96794288759
Binance-Coin,11/23/2024,11/24/2024,631.464,674.1227,630.8318,648.2527,3981164553,96408154861
Binance-Coin,11/22/2024,11/23/2024,622.6952,637.1307,616.747,631.4943,3204750403,92484929497
Binance-Coin,11/21/2024,11/22/2024,605.4281,627.4829,595.1106,622.2968,2757239290,90640563193
Binance-Coin,11/20/2024,11/21/2024,614.0144,618.9594,600.1437,605.363,2055611390,90160820599
Binance-Coin,11/19/2024,11/20/2024,618.4467,620.9809,607.0846,615.036,2225475661,90928606621
Binance-Coin,11/18/2024,11/19/2024,618.4589,628.3634,612.859,619.1422,2360531748,91711374810
Binance-Coin,11/17/2024,11/18/2024,622.9134,644.1392,606.9804,617.4521,2793514045,92156307981
Binance-Coin,11/16/2024,11/17/2024,619.0796,632.254,617.4685,621.8959,2302566096,92120736804
Binance-Coin,11/15/2024,11/16/2024,622.3971,627.4906,604.6677,618.4421,3689794553,91089671538
Binance-Coin,11/14/2024,11/15/2024,620.3488,658.9213,612.4359,621.5285,4755828811,93117571722
Binance-Coin,11/13/2024,11/14/2024,626.7525,637.5366,600.3354,619.356,4231298171,90865021681
Binance-Coin,11/12/2024,11/13/2024,653.7659,664.5852,613.7964,627.8461,5631575230,93942792432
Binance-Coin,11/11/2024,11/12/2024,628.0742,662.278,613.7276,662.278,3901147177,92857788016
Binance-Coin,11/10/2024,11/11/2024,622.2492,642.5694,614.4478,628.0457,2983982809,93170422309
Binance-Coin,11/9/2024,11/10/2024,597.1566,637.0744,597.1566,623.3469,3005045763,91907063746
Binance-Coin,11/8/2024,11/9/2024,599.2282,605.3522,589.0609,597.2011,1624499056,88082071817
Binance-Coin,11/7/2024,11/8/2024,592.1661,609.8697,588.171,597.803,2077361629,88166775755
Binance-Coin,11/6/2024,11/7/2024,564.2409,593.7219,563.8805,591.5336,2134633408,85979976879
Binance-Coin,11/5/2024,11/6/2024,553.1975,571.6976,551.7778,563.6357,1188783264,82816626610
