Name,Start,End,Open,High,Low,Close,Volume,Market Cap
Cosmos,12/16/2024,12/17/2024,9.060920353,9.273066875,8.674353214,8.885368211,467699103.3,3488696392
Cosmos,12/15/2024,12/16/2024,8.966980841,9.277075196,8.701260373,9.099833081,405707775.3,3504934809
Cosmos,12/14/2024,12/15/2024,9.165469956,9.334999813,8.674702885,8.958625207,512158852.8,3519926139
Cosmos,12/13/2024,12/14/2024,8.948654946,9.219625752,8.756299371,9.169506118,619899621.4,3534415772
Cosmos,12/12/2024,12/13/2024,8.774878735,9.277228106,8.627234552,8.938253601,663387017.1,3511268895
Cosmos,12/11/2024,12/12/2024,7.958963837,8.902204451,7.633091184,8.814629783,857908733.8,3228384352
Cosmos,12/10/2024,12/11/2024,8.276754107,8.532710572,7.287060736,7.934832978,1105348628,3146528796
Cosmos,12/9/2024,12/10/2024,10.1052,10.1052,7.867115071,8.423724082,557869631.5,3670258038
Cosmos,12/8/2024,12/9/2024,10.1664,10.4167,9.871371125,10.1325,428341558.8,3947102257
Cosmos,12/7/2024,12/8/2024,10.4684,10.5324,10.0258,10.1997,651614021.6,4018851837
Cosmos,12/6/2024,12/7/2024,9.544737625,10.5755,9.530424265,10.4039,848700204.4,3905268917
Cosmos,12/5/2024,12/6/2024,9.92932958,10.0558,9.440116649,9.608373513,1185971841,3844941845
Cosmos,12/4/2024,12/5/2024,9.599809747,10.6296,9.492789406,9.931826089,1159779038,3932067846
Cosmos,12/3/2024,12/4/2024,9.468020983,9.996530335,8.944600261,9.621852947,1168303938,3740789422
Cosmos,12/2/2024,12/3/2024,8.90997985,9.491658571,8.361152101,9.491658571,866421817.7,3494271670
Cosmos,12/1/2024,12/2/2024,8.611751293,8.990745603,8.322323972,8.912230965,464741570.7,3372100907
Cosmos,11/30/2024,12/1/2024,8.702694114,8.849946479,8.432792175,8.609279005,447975156.4,3376539660
Cosmos,11/29/2024,11/30/2024,8.186481505,8.792966999,8.066152996,8.775447611,376419050.7,3281031813
Cosmos,11/28/2024,11/29/2024,8.276302522,8.386036506,7.920176804,8.245471656,463988494.1,3173142302
Cosmos,11/27/2024,11/28/2024,7.943523015,8.370254749,7.824443027,8.336516774,599839784,3169668860
Cosmos,11/26/2024,11/27/2024,7.908683007,8.138822341,7.539420611,8.012115895,689849734.9,3097846526
Cosmos,11/25/2024,11/26/2024,8.589385547,8.822690413,7.788225433,7.939311086,1035021602,3280552981
Cosmos,11/24/2024,11/25/2024,8.303224165,9.524953108,8.085449684,8.732928319,1909637487,3411415784
Cosmos,11/23/2024,11/24/2024,7.488994818,8.76397518,7.436259572,8.205272725,1468096360,3134583528
Cosmos,11/22/2024,11/23/2024,6.468121195,7.520481141,6.347439075,7.490965604,704811355.2,2701240305
Cosmos,11/21/2024,11/22/2024,6.21812209,6.490117112,6.017877902,6.427911273,512318464.2,2445988419
Cosmos,11/20/2024,11/21/2024,6.268970922,6.621729728,6.110745495,6.215357853,508865642.2,2472942758
Cosmos,11/19/2024,11/20/2024,6.458922126,6.764936486,6.171491809,6.269413766,692636272.1,2490986279
Cosmos,11/18/2024,11/19/2024,5.686575859,6.566906121,5.686575859,6.469298455,527949989.6,2428545425
Cosmos,11/17/2024,11/18/2024,6.146217567,6.595632694,5.59131018,5.680674812,774775310.6,2318811174
Cosmos,11/16/2024,11/17/2024,5.266379431,6.176253186,5.252274416,6.102508741,374935388.2,2172418998
Cosmos,11/15/2024,11/16/2024,4.959751049,5.28710572,4.840090387,5.255772641,329657135.9,1990216864
Cosmos,11/14/2024,11/15/2024,5.121749159,5.296533831,4.887022725,4.961556332,432573334,1985289437
Cosmos,11/13/2024,11/14/2024,5.31972068,5.362966118,4.852087733,5.115942946,521832617.8,1988735758
Cosmos,11/12/2024,11/13/2024,5.582390041,5.819054037,5.170334053,5.347631494,570966733,2126172489
Cosmos,11/11/2024,11/12/2024,5.275987029,5.666368984,5.175595775,5.666368984,579172977.1,2090458112
Cosmos,11/10/2024,11/11/2024,4.76802929,5.520419948,4.7266886,5.275179046,454147320.1,2013403863
Cosmos,11/9/2024,11/10/2024,4.721679198,4.828716771,4.650798526,4.798666898,222288872.5,1848251097
Cosmos,11/8/2024,11/9/2024,4.552073953,4.70682806,4.472281486,4.704293201,203362684.8,1788234720
Cosmos,11/7/2024,11/8/2024,4.515488879,4.640621833,4.472828724,4.527080687,223498441.6,1774620073
Cosmos,11/6/2024,11/7/2024,4.222905075,4.531254959,4.213247458,4.51530674,240987507.1,1726937465
Cosmos,11/5/2024,11/6/2024,3.920444992,4.208319052,3.920444992,4.198463659,152382385.2,1590378099
Cosmos,11/4/2024,11/5/2024,3.974982814,4.014853446,3.850013604,3.910093582,149751662.3,1544347147
Cosmos,11/3/2024,11/4/2024,4.104763824,4.110427807,3.889655852,3.984312421,139436259.2,1566884034
Cosmos,11/2/2024,11/3/2024,4.17990933,4.214452812,4.059274504,4.088229856,121441970.3,1617531222
Cosmos,11/1/2024,11/2/2024,4.239848828,4.287150443,4.124956807,4.174474482,162106331.3,1643431578
Cosmos,10/31/2024,11/1/2024,4.470186354,4.470186354,4.193473647,4.235624397,140817721.8,1694161735
Cosmos,10/30/2024,10/31/2024,4.528408386,4.529186395,4.380108976,4.458649206,178929560.5,1744660743
Cosmos,10/29/2024,10/30/2024,4.451090669,4.603188258,4.437144072,4.528384445,168289352.6,1763627745
Cosmos,10/28/2024,10/29/2024,4.528537727,4.536996032,4.293041434,4.455644904,127438899.5,1737046932
Cosmos,10/27/2024,10/28/2024,4.426184122,4.536406112,4.40984178,4.522677145,123639061.2,1741098653
Cosmos,10/26/2024,10/27/2024,4.402274704,4.531727392,4.356134716,4.431495867,243955855.1,1736788663
Cosmos,10/25/2024,10/26/2024,4.82160672,4.822132625,4.375580719,4.419914983,284510525.4,1847273658
Cosmos,10/24/2024,10/25/2024,4.637747253,4.821973762,4.596524052,4.81808567,184258225,1837266071
Cosmos,10/23/2024,10/24/2024,4.793062415,4.839786732,4.593397776,4.641970534,193347896.2,1848753087
Cosmos,10/22/2024,10/23/2024,4.915635024,4.950196914,4.702758354,4.789164804,341950774.3,1879935881
Cosmos,10/21/2024,10/22/2024,4.694018343,5.061981413,4.686619465,4.900418112,338350142.5,1899132506
Cosmos,10/20/2024,10/21/2024,4.478912714,4.682429195,4.393223622,4.678090696,125264813.5,1772071208
Cosmos,10/19/2024,10/20/2024,4.349982529,4.484824095,4.349982529,4.46322161,141350227,1727926577
Cosmos,10/18/2024,10/19/2024,4.310428859,4.38841137,4.287361432,4.348959623,134987783.3,1697104992
Cosmos,10/17/2024,10/18/2024,4.445756023,4.464621141,4.244478513,4.30024882,126355102.9,1699383912
Cosmos,10/16/2024,10/17/2024,4.480734131,4.511367307,4.389832016,4.438473518,185867292.2,1740618838
Cosmos,10/15/2024,10/16/2024,4.516341874,4.57307952,4.383623942,4.479902226,185379555.5,1758785289
Cosmos,10/14/2024,10/15/2024,4.349870547,4.526850595,4.300893398,4.511287247,145932004.3,1738329006
Cosmos,10/13/2024,10/14/2024,4.349791735,4.366036168,4.222800674,4.335535002,104775243.4,1685377178
Cosmos,10/12/2024,10/13/2024,4.289039889,4.388475857,4.276964405,4.349423797,118738022.1,1695480497
Cosmos,10/11/2024,10/12/2024,4.135994151,4.293406456,4.11298813,4.27153941,152829839.9,1650534203
Cosmos,10/10/2024,10/11/2024,4.242784287,4.285118127,4.04981692,4.133328393,156743292.1,1638200223
Cosmos,10/9/2024,10/10/2024,4.360388916,4.387739327,4.176081664,4.233048852,145351047.3,1687638965
Cosmos,10/8/2024,10/9/2024,4.428923914,4.465034164,4.32167301,4.349532738,211912017,1714346837
Cosmos,10/7/2024,10/8/2024,4.648449815,4.785231738,4.422152905,4.422152905,162061498.2,1818160242
Cosmos,10/6/2024,10/7/2024,4.613732887,4.641442476,4.554095954,4.639072201,94402015.85,1793992713
Cosmos,10/5/2024,10/6/2024,4.638808068,4.709244688,4.572459687,4.630595978,131164948.7,1816879620
Cosmos,10/4/2024,10/5/2024,4.397850979,4.621508499,4.363105156,4.615944462,185960581.3,1761682872
Cosmos,10/3/2024,10/4/2024,4.447879135,4.502168283,4.244202976,4.385481952,235109653.5,1714282863
Cosmos,10/2/2024,10/3/2024,4.434949859,4.576140304,4.353613933,4.431526332,313735134,1752420059
Cosmos,10/1/2024,10/2/2024,4.726734957,4.901653069,4.343561048,4.458224166,247477757.3,1836026894
Cosmos,9/30/2024,10/1/2024,5.028112243,5.048747029,4.707511177,4.731375152,210305255.3,1911889243
Cosmos,9/29/2024,9/30/2024,5.022519239,5.133770408,4.963735856,5.037457155,150375227.5,1972984857
Cosmos,9/28/2024,9/29/2024,5.153849716,5.166674696,4.959282125,5.027811191,177372172.3,1974972505
Cosmos,9/27/2024,9/28/2024,5.011201899,5.18490306,5.011201899,5.14502704,253710379.2,2001496716
Cosmos,9/26/2024,9/27/2024,4.78948216,5.09268186,4.713891976,5.016699876,245821427.4,1925997771
Cosmos,9/25/2024,9/26/2024,4.814828682,4.967530378,4.748386906,4.781432958,270123739.1,1890031634
Cosmos,9/24/2024,9/25/2024,4.588090878,4.84631007,4.504407114,4.823221487,212913399.9,1811672934
Cosmos,9/23/2024,9/24/2024,4.583307952,4.704769277,4.531422153,4.583447107,219687299.7,1796842378
Cosmos,9/22/2024,9/23/2024,4.714014324,4.725577021,4.498708616,4.596801571,157751797.1,1814721463
Cosmos,9/21/2024,9/22/2024,4.516316224,4.718359331,4.471502684,4.716673333,174210337.1,1791587763
Cosmos,9/20/2024,9/21/2024,4.524123714,4.587193059,4.443094227,4.519651476,234459669.2,1771397849
Cosmos,9/19/2024,9/20/2024,4.392181563,4.614604629,4.379759335,4.514330205,273812556.6,1754273918
Cosmos,9/18/2024,9/19/2024,4.17440345,4.363219345,4.109214445,4.363219345,199580772,1642973770
Cosmos,9/17/2024,9/18/2024,3.974232042,4.210984703,3.947145279,4.173507829,168400703.9,1596170021
Cosmos,9/16/2024,9/17/2024,4.062988081,4.062988081,3.931381324,3.979109702,176160569.9,1562219135
Cosmos,9/15/2024,9/16/2024,4.245847927,4.256309576,4.059294465,4.067390413,117935289.5,1644617185
Cosmos,9/14/2024,9/15/2024,4.214359609,4.252087943,4.15609033,4.242143962,164721282.2,1643471875
Cosmos,9/13/2024,9/14/2024,4.152386896,4.251994572,4.129755425,4.213055469,183228489.4,1643885923
Cosmos,9/12/2024,9/13/2024,4.164540411,4.175948375,4.065844117,4.148448617,199773756.2,1608913793
Cosmos,9/11/2024,9/12/2024,4.135928976,4.206764168,4.027771206,4.16827116,201288672.7,1611267007
Cosmos,9/10/2024,9/11/2024,4.092011087,4.172855234,4.042154103,4.13803891,248538266.5,1607523612
Cosmos,9/9/2024,9/10/2024,3.812569908,4.106852613,3.812569908,4.088617862,244260358.4,1547877252
Cosmos,9/8/2024,9/9/2024,3.681853958,3.83524111,3.665334772,3.808007694,208608461.8,1454476548
Cosmos,9/7/2024,9/8/2024,3.727370283,3.781657397,3.64525496,3.666727021,293378047,1454186280
Cosmos,9/6/2024,9/7/2024,3.913035326,3.970246029,3.651818592,3.721482759,252348057.9,1506964441
Cosmos,9/5/2024,9/6/2024,4.074565153,4.096558115,3.871634919,3.912382762,241072571.5,1555565392
Cosmos,9/4/2024,9/5/2024,4.112903977,4.134194951,3.929829304,4.074889016,243721770.7,1584554847
Cosmos,9/3/2024,9/4/2024,4.442243388,4.507631691,4.116268456,4.116268456,141847931.9,1699069203
Cosmos,9/2/2024,9/3/2024,4.305585115,4.480011238,4.293044619,4.438276657,169485715.7,1711646520
Cosmos,9/1/2024,9/2/2024,4.556750566,4.565728436,4.286345124,4.313954519,108105307.8,1752125234
Cosmos,8/31/2024,9/1/2024,4.656541351,4.698674707,4.520839679,4.562524373,138629225,1799479278
Cosmos,8/30/2024,8/31/2024,4.621815416,4.666739923,4.47213942,4.652180654,152924715.7,1802556160
