Name,Start,End,Open,High,Low,Close,Volume,Market Cap
Curve,12/16/2024,12/17/2024,1.120726859,1.161387025,1.051513891,1.071414098,920940368.9,1367601444
Curve,12/15/2024,12/16/2024,1.142807383,1.170680279,1.072596796,1.134377431,1015783501,1405796154
Curve,12/14/2024,12/15/2024,1.132537376,1.29455972,1.117291075,1.141863803,1217606589,1489260488
Curve,12/13/2024,12/14/2024,1.223023777,1.241367835,1.120430805,1.136103115,1483502279,1460775906
Curve,12/12/2024,12/13/2024,1.117637978,1.198214344,1.081514085,1.189782905,1235406422,1416257440
Curve,12/11/2024,12/12/2024,1.064318876,1.139510495,0.985000416,1.129892129,1761001713,1333215229
Curve,12/10/2024,12/11/2024,1.043272542,1.208455849,0.996799365,1.070777586,2081706745,1378674743
Curve,12/9/2024,12/10/2024,1.201625728,1.201625728,0.919279514,1.063590511,1048257598,1366774290
Curve,12/8/2024,12/9/2024,1.181731915,1.242057839,1.149775706,1.20702798,920984244.4,1483954688
Curve,12/7/2024,12/8/2024,1.263302794,1.327187175,1.162211439,1.177507703,2037169427,1506300400
Curve,12/6/2024,12/7/2024,1.064793969,1.294513842,1.05317357,1.255899053,2072305195,1441406007
Curve,12/5/2024,12/6/2024,1.08310504,1.163726202,1.011751878,1.0598255,2461456940,1359498767
Curve,12/4/2024,12/5/2024,0.889348614,1.236548799,0.869162839,1.093040638,2774884338,1306661691
Curve,12/3/2024,12/4/2024,0.729735351,0.970019097,0.726520654,0.88309679,1814396975,1026013676
Curve,12/2/2024,12/3/2024,0.672758093,0.789651784,0.672758093,0.72967344,1324176559,891708138
Curve,12/1/2024,12/2/2024,0.690793107,0.718102817,0.635079101,0.670356069,1292836742,814056672.7
Curve,11/30/2024,12/1/2024,0.540435602,0.691081622,0.53616293,0.68814787,601944946.8,715338342.5
Curve,11/29/2024,11/30/2024,0.4963021,0.544809039,0.487752657,0.540566429,284847235.5,624583523.9
Curve,11/28/2024,11/29/2024,0.5059797,0.514391112,0.476698991,0.496222578,383817696.1,601035479.6
Curve,11/27/2024,11/28/2024,0.478788768,0.522437707,0.470593013,0.510895546,451352499.1,602357091.1
Curve,11/26/2024,11/27/2024,0.518918338,0.530925809,0.470180784,0.482796951,638239667.8,606023075.7
Curve,11/25/2024,11/26/2024,0.498109515,0.570946627,0.481453511,0.516538141,633183076.3,643778252.4
Curve,11/24/2024,11/25/2024,0.495264692,0.528691954,0.467939046,0.505889903,674658537.1,607271512.8
Curve,11/23/2024,11/24/2024,0.469497245,0.52780198,0.454345422,0.491542824,753765609.4,595892718.3
Curve,11/22/2024,11/23/2024,0.407392604,0.470435993,0.397095511,0.469234139,560538152.3,520690388.7
Curve,11/21/2024,11/22/2024,0.374291859,0.414878632,0.357559344,0.405126481,474015410.5,473403928.9
Curve,11/20/2024,11/21/2024,0.405983821,0.406420903,0.360888047,0.374568566,582646605.1,475433102.2
