Name,Start,End,Open,High,Low,Close,Volume,Market Cap
Fantom,12/16/2024,12/17/2024,1.43536973,1.465647813,1.345116547,1.386627116,1349376442,3908616254
Fantom,12/15/2024,12/16/2024,1.226483592,1.442972124,1.199384803,1.43718145,697630787.2,3607008223
Fantom,12/14/2024,12/15/2024,1.317631592,1.321582801,1.215399311,1.22399198,719806266.9,3531074571
Fantom,12/13/2024,12/14/2024,1.234966846,1.308789069,1.198635605,1.308632354,717068141.6,3477154504
Fantom,12/12/2024,12/13/2024,1.24789118,1.322724372,1.223200571,1.234818415,820720871.7,3574127406
Fantom,12/11/2024,12/12/2024,1.157594155,1.256364929,1.11681202,1.250146492,1271338840,3321706558
Fantom,12/10/2024,12/11/2024,1.106949157,1.199464387,1.06043325,1.155192333,1948414055,3197468022
Fantom,12/9/2024,12/10/2024,1.335632347,1.335632347,1.033709742,1.126092948,890036815.8,3469472930
Fantom,12/8/2024,12/9/2024,1.319890433,1.369484995,1.293460466,1.336028642,821852971.3,3716092801
Fantom,12/7/2024,12/8/2024,1.318580076,1.391607413,1.314542892,1.319492758,1142573002,3779017449
Fantom,12/6/2024,12/7/2024,1.304006981,1.354226258,1.263925901,1.307042638,1812504513,3683494752
Fantom,12/5/2024,12/6/2024,1.210860587,1.330930332,1.165131135,1.308974885,1530030536,3504254901
Fantom,12/4/2024,12/5/2024,1.249250647,1.287723227,1.190011866,1.212966103,1968566818,3490879047
Fantom,12/3/2024,12/4/2024,1.255829221,1.344270509,1.179953044,1.254461178,2718383417,3496469270
Fantom,12/2/2024,12/3/2024,1.104842307,1.251286603,0.986088621,1.251286603,1174814458,2971221630
Fantom,12/1/2024,12/2/2024,1.052511843,1.106280452,1.025389848,1.095027679,756270881.8,2965858414
Fantom,11/30/2024,12/1/2024,1.029400104,1.089177371,1.013707884,1.050076059,878543982.7,2963278783
Fantom,11/29/2024,11/30/2024,0.998135394,1.049734722,0.998135394,1.034072284,859314419.1,2879680319
Fantom,11/28/2024,11/29/2024,1.045342297,1.099542224,0.986435162,0.996398986,1227413370,2890955863
Fantom,11/27/2024,11/28/2024,1.067815561,1.132828616,1.031096438,1.047872199,2467183113,2993451262
Fantom,11/26/2024,11/27/2024,0.987277371,1.100518165,0.928536563,1.08274995,2220687499,2838957766
Fantom,11/25/2024,11/26/2024,0.991401626,1.008709,0.912837392,0.974500099,2084426170,2680910859
Fantom,11/24/2024,11/25/2024,0.877609345,1.01960072,0.840464333,1.001510011,1999797204,2600029384
Fantom,11/23/2024,11/24/2024,0.763271455,0.945234736,0.7529613,0.876181072,1363201404,2368543515
Fantom,11/22/2024,11/23/2024,0.70695111,0.758912758,0.685993874,0.757621792,641929117.8,1994152322
Fantom,11/21/2024,11/22/2024,0.66249484,0.726798212,0.644259196,0.708648808,621202160.8,1931735873
Fantom,11/20/2024,11/21/2024,0.692648869,0.706333306,0.648159847,0.66273522,483635913.3,1908292913
Fantom,11/19/2024,11/20/2024,0.731637043,0.731637043,0.684292044,0.696182876,526764859,1978923527
Fantom,11/18/2024,11/19/2024,0.697824201,0.733773534,0.691200933,0.72916923,555094990.3,2005752753
Fantom,11/17/2024,11/18/2024,0.746132332,0.766025364,0.68251723,0.697185929,650140349.7,2029814363
Fantom,11/16/2024,11/17/2024,0.705863098,0.764851078,0.70113233,0.74484857,623540284.6,2060799947
Fantom,11/15/2024,11/16/2024,0.673787414,0.725756821,0.661053946,0.705523331,667807945.8,1947695785
Fantom,11/14/2024,11/15/2024,0.701949505,0.741084091,0.661900111,0.671814671,923471414.3,1966064751
Fantom,11/13/2024,11/14/2024,0.766288466,0.768815693,0.68219989,0.702514849,976811739.8,2022379260
Fantom,11/12/2024,11/13/2024,0.818319592,0.832664044,0.722868,0.76758352,1032799240,2178131341
Fantom,11/11/2024,11/12/2024,0.790530441,0.837893826,0.755500541,0.837893826,982240867.5,2222415321
Fantom,11/10/2024,11/11/2024,0.752013562,0.823360258,0.732770214,0.788084782,688989094,2174654250
Fantom,11/9/2024,11/10/2024,0.715062224,0.764509296,0.713731082,0.758822895,510046899.6,2066428113
Fantom,11/8/2024,11/9/2024,0.727216923,0.73651151,0.700712656,0.718600247,522419992.8,2008583301
Fantom,11/7/2024,11/8/2024,0.691473368,0.733941494,0.685403438,0.722823184,660585986.6,1995812189
Fantom,11/6/2024,11/7/2024,0.585222447,0.699141439,0.583215298,0.689813912,743902051.5,1840526730
Fantom,11/5/2024,11/6/2024,0.548074838,0.606547515,0.54612851,0.582400657,447293974.9,1606385139
Fantom,11/4/2024,11/5/2024,0.597613039,0.603604743,0.531515951,0.545277664,391931834,1618234121
Fantom,11/3/2024,11/4/2024,0.619734561,0.621487262,0.561866265,0.599720621,297011853.8,1669696615
Fantom,11/2/2024,11/3/2024,0.642969453,0.646550692,0.614725769,0.618745273,282102208,1767160094
Fantom,11/1/2024,11/2/2024,0.657917685,0.667933367,0.631412893,0.639665332,325341143.6,1821917764
Fantom,10/31/2024,11/1/2024,0.693837096,0.694860592,0.644658888,0.655025279,292146715.8,1879425270
Fantom,10/30/2024,10/31/2024,0.720677125,0.720677125,0.688253025,0.693003265,355906094.4,1966469274
Fantom,10/29/2024,10/30/2024,0.686824375,0.726223163,0.685713583,0.71893632,430442841.9,1997135860
Fantom,10/28/2024,10/29/2024,0.685269388,0.693107649,0.662685199,0.687856702,399495495.3,1898921215
Fantom,10/27/2024,10/28/2024,0.645479738,0.693197676,0.644290613,0.684000803,268375663.9,1845396839
Fantom,10/26/2024,10/27/2024,0.616213492,0.650927585,0.614163754,0.645228523,551786435.9,1785229911
Fantom,10/25/2024,10/26/2024,0.69051444,0.691284154,0.603797812,0.62046516,326194722.9,1889472948
Fantom,10/24/2024,10/25/2024,0.687237398,0.701173322,0.683109035,0.688343557,378225611.8,1943384534
Fantom,10/23/2024,10/24/2024,0.709216534,0.709216534,0.664452571,0.687019274,415974356.2,1935998210
Fantom,10/22/2024,10/23/2024,0.739593264,0.748954872,0.696688886,0.708046987,425392281.6,2030320016
Fantom,10/21/2024,10/22/2024,0.761006447,0.793663293,0.734647014,0.737497061,530140196.3,2117904070
Fantom,10/20/2024,10/21/2024,0.720208793,0.761126345,0.708754725,0.759522996,274596717.8,2048866799
Fantom,10/19/2024,10/20/2024,0.733420496,0.744063129,0.713769229,0.720375774,388734836,2036918196
Fantom,10/18/2024,10/19/2024,0.721121882,0.742160377,0.706646323,0.732996502,531503123.3,2028806738
Fantom,10/17/2024,10/18/2024,0.744652783,0.765390568,0.705215469,0.721020184,588049248,2056877110
Fantom,10/16/2024,10/17/2024,0.757449484,0.768557191,0.724746368,0.742465193,1007361443,2091543768
Fantom,10/15/2024,10/16/2024,0.733412397,0.794176757,0.724752596,0.7618153,988354106.5,2108338569
Fantom,10/14/2024,10/15/2024,0.6655023,0.743466814,0.661005527,0.733081998,700650128.2,1990095074
Fantom,10/13/2024,10/14/2024,0.704900136,0.712251643,0.651979677,0.66495589,494543054.1,1923345606
Fantom,10/12/2024,10/13/2024,0.680086026,0.707353441,0.666707481,0.705246246,552060794.1,1919327589
Fantom,10/11/2024,10/12/2024,0.629971489,0.686990571,0.628321806,0.67429348,747069189.3,1836792728
Fantom,10/10/2024,10/11/2024,0.663857108,0.703936426,0.626108932,0.630913553,743302325,1858046042
Fantom,10/9/2024,10/10/2024,0.683049381,0.711093092,0.662873044,0.662873044,742052599.9,1941684578
Fantom,10/8/2024,10/9/2024,0.667805766,0.697955579,0.655757204,0.678973113,827915900.7,1904891067
Fantom,10/7/2024,10/8/2024,0.655143757,0.692864338,0.643647301,0.663580717,655328565.2,1874668130
Fantom,10/6/2024,10/7/2024,0.607236869,0.65853354,0.605889542,0.655191093,453479116.4,1777348533
