Name,Start,End,Open,High,Low,Close,Volume,Market Cap
LiteCoin,12/16/2024,12/17/2024,121.0943,123.5656,115.9643,118.1834,1893500266,9021582935
LiteCoin,12/15/2024,12/16/2024,118.1447,121.541,115.1321,121.389,1540736131,8904290114
LiteCoin,12/14/2024,12/15/2024,124.0529,124.5503,115.8435,118.1661,1904343646,9083231804
LiteCoin,12/13/2024,12/14/2024,119.7032,124.1282,117.4741,123.6861,2228046652,9077843557
LiteCoin,12/12/2024,12/13/2024,117.1951,124.15,116.7495,119.1862,2167352681,9099137218
LiteCoin,12/11/2024,12/12/2024,109.9932,118.4667,106.5954,117.4761,2756910974,8521558181
LiteCoin,12/10/2024,12/11/2024,109.1213,114.5518,101.9343,109.5904,4161376580,8283702388
LiteCoin,12/9/2024,12/10/2024,134.6709,134.6709,105.4604,110.6494,2157121363,9342688111
LiteCoin,12/8/2024,12/9/2024,133.5977,135.4007,130.6967,135.4007,1880370972,10035275057
LiteCoin,12/7/2024,12/8/2024,135.933,138.1942,132.4081,133.6799,2290706472,10223677057
LiteCoin,12/6/2024,12/7/2024,135.4323,138.5223,131.0801,135.9354,3896196144,10175272479
LiteCoin,12/5/2024,12/6/2024,133.1342,146.2337,125.9385,136.1238,4404621234,10142929952
LiteCoin,12/4/2024,12/5/2024,130.4917,134.4769,122.7361,133.9326,3670948196,9735971050
LiteCoin,12/3/2024,12/4/2024,133.5861,134.3551,123.0281,132.0855,5764375378,9820138792
LiteCoin,12/2/2024,12/3/2024,120.2966,138.5952,115.7019,134.0582,5797763758,9354437609
LiteCoin,12/1/2024,12/2/2024,102.6636,120.1822,99.7135,119.6817,1806191467,7900092222
LiteCoin,11/30/2024,12/1/2024,103.9391,103.9588,100.6738,102.667,1721210699,7675763732
LiteCoin,11/29/2024,11/30/2024,95.5551,104.0027,95.0489,103.5153,1249136862,7416782680
LiteCoin,11/28/2024,11/29/2024,97.1203,98.0984,94.0132,95.7754,1386073009,7210923282
LiteCoin,11/27/2024,11/28/2024,92.5162,98.6042,91.8907,97.3111,1550348470,7181280800
LiteCoin,11/26/2024,11/27/2024,92.2078,95.0509,88.5489,92.8155,1754956619,6920334349
LiteCoin,11/25/2024,11/26/2024,96.2254,98.6219,91.5415,92.4175,2042283146,7204823653
LiteCoin,11/24/2024,11/25/2024,99.4292,102.7299,92.3832,96.7836,2810459422,7355142090
LiteCoin,11/23/2024,11/24/2024,92.021,105.1653,92.021,99.0596,3578181421,7554237876
LiteCoin,11/22/2024,11/23/2024,89.6822,92.0547,88.4212,91.8377,2025415732,6788683951
LiteCoin,11/21/2024,11/22/2024,83.4745,90.7068,82.1791,89.4115,1965525308,6624581993
LiteCoin,11/20/2024,11/21/2024,86.5806,87.5514,82.6542,83.5784,1530430154,6411082450
LiteCoin,11/19/2024,11/20/2024,89.1331,89.9131,85.3959,86.7265,1873582907,6617090060
LiteCoin,11/18/2024,11/19/2024,87.0328,94.0461,86.7871,89.095,2210280864,6793152330
LiteCoin,11/17/2024,11/18/2024,96.3792,96.5227,85.3935,86.9781,3314638012,6721322309
LiteCoin,11/16/2024,11/17/2024,83.656,97.5392,83.0368,95.459,2550540198,6721930578
LiteCoin,11/15/2024,11/16/2024,82.2203,86.3695,78.7825,83.637,2401722807,6217263222
LiteCoin,11/14/2024,11/15/2024,74.8433,83.9836,73.9925,81.9279,2486839807,6026741381
LiteCoin,11/13/2024,11/14/2024,76.6394,77.2768,71.9384,74.8802,1775064414,5591740498
LiteCoin,11/12/2024,11/13/2024,78.8775,82.4593,74.1206,76.8077,2275678956,5804081866
LiteCoin,11/11/2024,11/12/2024,76.122,79.4798,74.5108,79.4798,1565937806,5758167272
LiteCoin,11/10/2024,11/11/2024,73.0046,77.4667,73.0046,75.9149,1161390288,5680665229
LiteCoin,11/9/2024,11/10/2024,72.0581,73.264,71.3782,73.1406,846072340,5422392528
LiteCoin,11/8/2024,11/9/2024,71.1764,72.3201,70.126,72.1424,866982398.2,5343086783
LiteCoin,11/7/2024,11/8/2024,70.5378,71.6752,69.7262,71.0273,988263261.4,5309166513
LiteCoin,11/6/2024,11/7/2024,65.5969,71.015,65.5122,70.6441,1136673705,5195604304
LiteCoin,11/5/2024,11/6/2024,65.4991,66.9593,65.2362,65.4956,693618277.9,4969989912
LiteCoin,11/4/2024,11/5/2024,66.5665,67.3249,64.8887,65.3966,659930557.6,4983658534
LiteCoin,11/3/2024,11/4/2024,68.7103,68.7589,65.546,66.7409,638078815,5035261656
LiteCoin,11/2/2024,11/3/2024,69.8367,70.5722,68.3939,68.6602,688236495.7,5217983061
LiteCoin,11/1/2024,11/2/2024,68.8514,70.2448,67.6335,69.749,741971582.8,5185716988
LiteCoin,10/31/2024,11/1/2024,71.2337,71.2693,68.2858,68.8489,676931645.1,5255917301
LiteCoin,10/30/2024,10/31/2024,73.1423,73.2823,70.8683,71.2169,756339188.7,5388039122
LiteCoin,10/29/2024,10/30/2024,70.1775,73.5174,70.1419,73.3029,773300451.1,5397466497
LiteCoin,10/28/2024,10/29/2024,70.2674,70.8508,69.0571,70.245,651789265,5263447014
LiteCoin,10/27/2024,10/28/2024,68.0317,70.4448,67.772,70.2434,597592784.4,5190713837
LiteCoin,10/26/2024,10/27/2024,68.1783,69.3079,67.7938,68.0734,821527753.2,5138865838
LiteCoin,10/25/2024,10/26/2024,70.3161,72.1622,67.5833,68.0922,1743338612,5303398634
LiteCoin,10/24/2024,10/25/2024,69.7056,70.6813,68.897,70.257,707515667.8,5245670490
LiteCoin,10/23/2024,10/24/2024,69.4877,69.9329,67.9816,69.7735,767117178.5,5167742005
LiteCoin,10/22/2024,10/23/2024,70.5366,71.0543,69.0654,69.4276,919488628.3,5254891927
LiteCoin,10/21/2024,10/22/2024,73.4531,73.6819,70.4027,70.4471,802339418.5,5401397542
LiteCoin,10/20/2024,10/21/2024,74.0589,74.6619,73.033,73.5513,716038573.8,5539992295
LiteCoin,10/19/2024,10/20/2024,72.7102,74.8271,72.6878,74.1178,841216658.4,5549757225
LiteCoin,10/18/2024,10/19/2024,72.3755,73.7575,71.5291,72.7967,1064254192,5431356667
LiteCoin,10/17/2024,10/18/2024,69.6757,73.1736,69.6757,72.4858,932477004.2,5339237355
LiteCoin,10/16/2024,10/17/2024,70.8943,72.2749,69.1913,69.6772,1629497100,5301933429
LiteCoin,10/15/2024,10/16/2024,66.7541,70.6019,65.67,70.6019,1066944664,5074722267
LiteCoin,10/14/2024,10/15/2024,65.1157,67.0704,64.533,66.7328,726680304.5,4945341681
LiteCoin,10/13/2024,10/14/2024,66.4662,66.4662,64.9328,65.1537,567687629.2,4925098296
LiteCoin,10/12/2024,10/13/2024,65.8424,66.7321,65.4952,66.3967,576163540.7,4972702146
LiteCoin,10/11/2024,10/12/2024,64.5872,66.1472,64.5872,65.714,626183247.4,4908916292
LiteCoin,10/10/2024,10/11/2024,64.8358,65.3011,63.812,64.5481,668303861.3,4859986439
LiteCoin,10/9/2024,10/10/2024,65.9183,66.2504,64.4968,64.8493,665220613.8,4922961172
LiteCoin,10/8/2024,10/9/2024,65.114,66.3171,65.0081,65.9391,789279871.7,4926478459
LiteCoin,10/7/2024,10/8/2024,67.0561,67.7213,64.9347,65.1135,747677892.7,5010039519
LiteCoin,10/6/2024,10/7/2024,66.2851,67.3915,66.1995,67.0729,704294049.8,5024562752
LiteCoin,10/5/2024,10/6/2024,65.2698,66.264,65.1565,66.264,650569202.6,4927469090
LiteCoin,10/4/2024,10/5/2024,63.6673,65.2889,63.4901,65.1986,783207934.7,4841413631
LiteCoin,10/3/2024,10/4/2024,63.1589,64.1246,62.473,63.5523,843025676.1,4756573270
LiteCoin,10/2/2024,10/3/2024,63.9386,65.0895,62.6971,63.2222,971543365.7,4809130766
LiteCoin,10/1/2024,10/2/2024,67.0657,68.5117,63.3277,63.9627,839547991.4,5002093786
LiteCoin,9/30/2024,10/1/2024,69.4765,69.5361,66.82,67.0472,816519934.9,5088093880
LiteCoin,9/29/2024,9/30/2024,70.1571,70.394,69.0359,69.6232,722030620.4,5229462322
LiteCoin,9/28/2024,9/29/2024,70.9036,71.2326,69.3291,70.1829,878991122.1,5266673710
LiteCoin,9/27/2024,9/28/2024,68.6343,70.8682,68.4974,70.8682,936397840,5227712204
LiteCoin,9/26/2024,9/27/2024,66.8123,68.6193,66.1245,68.5654,830929148.8,5071857229
LiteCoin,9/25/2024,9/26/2024,66.8052,67.7905,66.3241,66.8728,757723444.6,5026179514
LiteCoin,9/24/2024,9/25/2024,67.2627,67.3591,66.1166,66.8516,803476780,5009565087
LiteCoin,9/23/2024,9/24/2024,68.5339,69.1802,67.0739,67.2933,917598317.1,5087697147
LiteCoin,9/22/2024,9/23/2024,66.8942,68.6036,66.7098,68.5063,760375052.5,5043187920
LiteCoin,9/21/2024,9/22/2024,65.4506,66.9638,65.1601,66.8797,752593956.9,4952063027
LiteCoin,9/20/2024,9/21/2024,65.6466,66.4815,64.6139,65.3727,827861524.6,4924239770
LiteCoin,9/19/2024,9/20/2024,65.032,66.1134,64.8432,65.6425,879564240.4,4905343273
LiteCoin,9/18/2024,9/19/2024,63.8211,64.7989,62.8341,64.7989,792400755.1,4789610587
LiteCoin,9/17/2024,9/18/2024,62.9632,63.998,62.5188,63.8008,740664641.3,4742843494
LiteCoin,9/16/2024,9/17/2024,63.6451,63.8646,62.6051,62.9459,715466130.1,4735749168
LiteCoin,9/15/2024,9/16/2024,66.1352,66.3756,63.5613,63.7163,721369382.5,4877498772
LiteCoin,9/14/2024,9/15/2024,64.9107,66.6188,64.8321,66.1745,789394271.4,4931408949
LiteCoin,9/13/2024,9/14/2024,62.8933,64.908,62.5478,64.908,711201986.7,4769501737
LiteCoin,9/12/2024,9/13/2024,62.2644,63.1419,61.7662,62.8845,777728411.2,4678323541
LiteCoin,9/11/2024,9/12/2024,61.6726,62.4642,60.517,62.2235,783282186.6,4623930670
LiteCoin,9/10/2024,9/11/2024,61.4361,61.958,60.59,61.7579,837917208.8,4588481595
LiteCoin,9/9/2024,9/10/2024,61.0861,61.9046,60.0109,61.5196,759395284,4563771095
LiteCoin,9/8/2024,9/9/2024,62.191,62.3928,60.4663,61.117,634038024,4620105043
LiteCoin,9/7/2024,9/8/2024,63.1545,64.1053,61.8786,62.2692,854874747.2,4739154644
LiteCoin,9/6/2024,9/7/2024,66.2113,66.7974,62.0976,63.1204,927222282.5,4864994933
LiteCoin,9/5/2024,9/6/2024,65.5482,68.2164,64.7271,66.1768,863263090.8,4941364458
LiteCoin,9/4/2024,9/5/2024,64.845,66.2669,63.2504,65.5952,787262879.7,4901138909
LiteCoin,9/3/2024,9/4/2024,65.4461,66.3828,64.8025,64.8025,760284310.8,4917026938
LiteCoin,9/2/2024,9/3/2024,63.8021,65.7468,63.1028,65.4185,737584903,4818213488
LiteCoin,9/1/2024,9/2/2024,65.2334,65.2522,63.5182,63.7983,634461129.5,4838904428
LiteCoin,8/31/2024,9/1/2024,65.203,66.2834,65.1558,65.2958,843171529.4,4915289924
LiteCoin,8/30/2024,8/31/2024,62.6409,65.4876,61.9931,65.1815,918826408.2,4719513397
LiteCoin,8/29/2024,8/30/2024,62.0014,63.9299,61.6606,62.5516,758952885.9,4671545550
LiteCoin,8/28/2024,8/29/2024,60.4102,62.3814,59.9852,62.0473,872688890.9,4556686116
LiteCoin,8/27/2024,8/28/2024,63.2511,63.7964,59.8701,60.6128,673595755.3,4695287560
LiteCoin,8/26/2024,8/27/2024,64.9281,65.1197,63.3003,63.3003,645420812.8,4789449929
