Name,Start,End,Open,High,Low,Close,Volume,Market Cap
Maker,12/15/2024,12/16/2024,1940.5522,2058.7224,1896.1078,2058.7224,208503320.6,1729418368
Maker,12/14/2024,12/15/2024,2113.2466,2137.2351,1904.5428,1934.6451,235078509.8,1787560090
Maker,12/13/2024,12/14/2024,2037.8889,2113.7647,1994.1833,2103.7733,377943525.7,1833730980
Maker,12/12/2024,12/13/2024,1876.0408,2148.616,1876.0408,2026.324,335035808.6,1800408706
Maker,12/11/2024,12/12/2024,1771.36,1901.2464,1713.2685,1881.0966,309832912.4,1620749711
Maker,12/10/2024,12/11/2024,1872.1295,1976.5093,1710.7534,1766.1334,480934730.4,1646612884
Maker,12/9/2024,12/10/2024,2203.6715,2220.2636,1717.5919,1892.7774,277183016.4,1833807105
Maker,12/8/2024,12/9/2024,2170.2883,2212.755,2113.3048,2211.1981,166521535.8,1920254875
Maker,12/7/2024,12/8/2024,2215.6355,2235.9384,2157.0685,2172.0318,263853090,1948534044
Maker,12/6/2024,12/7/2024,2103.7274,2311.5601,2100.3209,2212.9723,351357898.3,1946188901
Maker,12/5/2024,12/6/2024,2278.833,2283.1914,2064.0099,2104.4914,478574817.9,1944272614
Maker,12/4/2024,12/5/2024,2305.8335,2414.9646,2245.7915,2277.3691,614148133.9,2057266508
Maker,12/3/2024,12/4/2024,1980.5805,2322.6234,1980.5805,2310.4768,711055796.8,1935689035
Maker,12/2/2024,12/3/2024,1842.433,1983.4645,1780.1619,1979.8125,261066588,1653227299
Maker,12/1/2024,12/2/2024,1865.0256,1883.6179,1809.1381,1840.7904,181816037.6,1628785442
Maker,11/30/2024,12/1/2024,1808.045,1895.1121,1791.6192,1866.0344,199698189,1635450256
Maker,11/29/2024,11/30/2024,1822.4111,1838.1735,1788.7459,1810.8348,158916639,1598065738
Maker,11/28/2024,11/29/2024,1863.4555,1881.5217,1786.2257,1822.0521,209904918.2,1608115771
Maker,11/27/2024,11/28/2024,1736.2332,1873.4802,1723.9638,1867.7566,225371574,1578329920
Maker,11/26/2024,11/27/2024,1825.4564,1848.1777,1686.6824,1740.2053,392092362.6,1553702724
Maker,11/25/2024,11/26/2024,1728.3332,1988.419,1695.4064,1827.3534,361096187.1,1609944842
Maker,11/24/2024,11/25/2024,1662.8463,1787.1821,1657.8847,1735.3178,349040914.5,1518438236
Maker,11/23/2024,11/24/2024,1625.873,1767.4857,1614.6185,1659.9275,270905513.7,1465908406
Maker,11/22/2024,11/23/2024,1645.3514,1716.3486,1602.3487,1628.1738,277649227.2,1451870180
Maker,11/21/2024,11/22/2024,1489.6655,1664.0971,1468.4825,1644.3939,265911196,1375431024
Maker,11/20/2024,11/21/2024,1487.5345,1560.0953,1480.3018,1490.0318,203006591,1330811421
Maker,11/19/2024,11/20/2024,1565.7575,1568.6916,1473.4099,1495.0693,188639133.6,1320080099
Maker,11/18/2024,11/19/2024,1476.5578,1560.1846,1466.5613,1556.4667,158505763.3,1326557904
Maker,11/17/2024,11/18/2024,1505.7281,1532.868,1460.4973,1475.5278,189166337,1311947509
Maker,11/16/2024,11/17/2024,1433.4448,1554.8121,1427.0138,1502.8988,178650995.8,1302134320
Maker,11/15/2024,11/16/2024,1421.1125,1467.882,1410.1528,1433.621,207461203,1267014404
Maker,11/14/2024,11/15/2024,1485.2251,1510.3027,1410.776,1418.9663,305979454.8,1289931894
Maker,11/13/2024,11/14/2024,1520.0812,1598.7282,1452.7949,1485.0343,373613613.6,1325071670
Maker,11/12/2024,11/13/2024,1522.6905,1553.5408,1456.323,1522.5357,364807513.3,1323047156
Maker,11/11/2024,11/12/2024,1469.0168,1551.6027,1446.4512,1535.4318,307966395.8,1310454506
Maker,11/10/2024,11/11/2024,1484.0498,1548.3684,1437.7746,1470.8943,227796659.5,1321475456
Maker,11/9/2024,11/10/2024,1481.8677,1520.3769,1454.2536,1490.2699,199964203.9,1301890765
Maker,11/8/2024,11/9/2024,1516.4133,1523.8121,1462.301,1480.405,414904061.4,1301977425
Maker,11/7/2024,11/8/2024,1381.1739,1641.992,1368.2692,1503.0952,404642147.9,1288282684
Maker,11/6/2024,11/7/2024,1123.8878,1414.0914,1119.868,1384.4281,308877300.8,1112622535
Maker,11/5/2024,11/6/2024,1148.2167,1160.5311,1112.5913,1120.9098,157491417.1,999690800.1
Maker,11/4/2024,11/5/2024,1176.4908,1186.6093,1134.3515,1147.6282,138008833.8,1022242714
Maker,11/3/2024,11/4/2024,1214.0884,1214.0884,1149.9783,1177.4545,156797353.2,1033287386
Maker,11/2/2024,11/3/2024,1267.7853,1267.7853,1201.2856,1210.0585,205478752.3,1072100922
Maker,11/1/2024,11/2/2024,1272.4119,1315.3643,1253.8624,1265.6946,315957884.5,1118953561
Maker,10/31/2024,11/1/2024,1250.8509,1330.4556,1241.526,1267.8222,308030857.3,1115360770
Maker,10/30/2024,10/31/2024,1156.7479,1268.6628,1144.2329,1248.5913,191222071.1,1063283950
Maker,10/29/2024,10/30/2024,1117.6715,1155.8309,1111.4773,1150.4208,93612558.96,986459963.7
Maker,10/28/2024,10/29/2024,1118.4647,1131.2498,1097.9504,1115.9714,72889975.02,978097989.6
Maker,10/27/2024,10/28/2024,1112.6518,1124.119,1106.0037,1118.6102,80608635.16,977832228.2
Maker,10/26/2024,10/27/2024,1065.2138,1132.0679,1065.2138,1110.884,166102571.5,966670539.2
Maker,10/25/2024,10/26/2024,1143.2502,1144.2254,1037.6164,1057.2439,1274085921,980286122
Maker,10/24/2024,10/25/2024,1160.7535,1174.2009,1138.3574,1144.2442,116035346.6,1009898395
Maker,10/23/2024,10/24/2024,1217.5427,1217.5427,1138.2189,1163.913,168189761.4,1032994078
Maker,10/22/2024,10/23/2024,1193.8493,1221.4033,1160.137,1214.1486,128062500,1037276766
Maker,10/21/2024,10/22/2024,1236.5857,1246.2146,1192.461,1192.8851,111574212.1,1067704716
Maker,10/20/2024,10/21/2024,1223.5123,1245.0742,1209.8634,1234.4636,84176139.47,1072535090
Maker,10/19/2024,10/20/2024,1212.2888,1229.0101,1207.8028,1223.3309,98120842.13,1067669173
Maker,10/18/2024,10/19/2024,1208.1104,1221.2083,1199.2487,1210.3263,136729558.9,1061445965
Maker,10/17/2024,10/18/2024,1285.7979,1296.6274,1198.3074,1206.7922,149580796.7,1100525556
Maker,10/16/2024,10/17/2024,1320.4383,1329.4653,1277.9107,1283.1297,299751585.2,1140717938
Maker,10/15/2024,10/16/2024,1398.615,1435.6203,1298.6651,1324.226,420615498.3,1212683557
Maker,10/14/2024,10/15/2024,1331.1147,1393.2565,1324.1073,1392.3812,213272114.8,1187680261
Maker,10/13/2024,10/14/2024,1359.7344,1362.5508,1315.2545,1328.4404,195400577.7,1177063176
Maker,10/12/2024,10/13/2024,1367.1776,1382.3573,1353.9583,1358.8973,198682450.2,1199426462
Maker,10/11/2024,10/12/2024,1353.3769,1380.3802,1353.124,1366.1926,193889604.8,1198942125
Maker,10/10/2024,10/11/2024,1353.8073,1373.8936,1324.7115,1351.6982,229880684.3,1188780129
Maker,10/9/2024,10/10/2024,1405.2513,1418.4287,1342.7906,1354.2689,1881355279,1218566424
Maker,10/8/2024,10/9/2024,1402.4218,1434.266,1399.5825,1405.7806,5943693135,1239727861
Maker,10/7/2024,10/8/2024,1453.5384,1490.9935,1385.8445,1398.8168,4572637938,1255718493
Maker,10/6/2024,10/7/2024,1453.0554,1479.1039,1450.5908,1461.1228,2774867942,1286059299
Maker,10/5/2024,10/6/2024,1453.1208,1463.9206,1438.2546,1454.6517,2488574852,1277763335
Maker,10/4/2024,10/5/2024,1428.9802,1468.0895,1421.9331,1451.0991,3368052764,1276363910
Maker,10/3/2024,10/4/2024,1452.0017,1475.7342,1407.8955,1428.5941,3381925822,1269426904
Maker,10/2/2024,10/3/2024,1485.8337,1523.5198,1443.9582,1455.5743,389296919.3,1312162715
