Name,Start,End,Open,High,Low,Close,Volume,Market Cap
NEO,12/16/2024,12/17/2024,18.4819,18.861,17.468,17.9572,141554427.6,1273640358
NEO,12/15/2024,12/16/2024,17.7993,18.5039,17.2843,18.5039,120681591.2,1263730586
NEO,12/14/2024,12/15/2024,18.6325,18.842,17.3664,17.8343,140311307.5,1277941506
NEO,12/13/2024,12/14/2024,18.5122,18.9863,17.963,18.7567,198218665.4,1304203187
NEO,12/12/2024,12/13/2024,18.1305,19.5852,18.1305,18.4838,238921129.5,1332063666
NEO,12/11/2024,12/12/2024,16.9417,18.569,16.1265,18.1553,263350844.9,1239699727
NEO,12/10/2024,12/11/2024,16.9297,17.7271,15.4561,16.8911,392904657.4,1183796253
NEO,12/9/2024,12/10/2024,21.1823,21.3953,16.163,17.2453,217448512.4,1366377759
NEO,12/8/2024,12/9/2024,21.0704,21.5375,20.4706,21.2976,174815967.3,1479691436
NEO,12/7/2024,12/8/2024,21.3473,22.0602,20.9047,21.1397,300568909.4,1502388153
NEO,12/6/2024,12/7/2024,20.8729,21.6416,20.0377,21.4685,346678538,1483511009
NEO,12/5/2024,12/6/2024,22.0379,22.2737,20.4472,21.2118,543783508.4,1505629199
NEO,12/4/2024,12/5/2024,24.625,25.1401,21.473,21.9728,1463768053,1611632525
NEO,12/3/2024,12/4/2024,17.8438,25.3964,17.6027,25.0657,723579056.6,1380454459
NEO,12/2/2024,12/3/2024,16.3063,18.5259,15.7998,17.9232,340962257.3,1198534543
NEO,12/1/2024,12/2/2024,15.9606,16.4723,15.518,16.3152,153295247.1,1122262306
NEO,11/30/2024,12/1/2024,15.6155,16.2577,15.5167,16.0165,194586667.4,1118822174
NEO,11/29/2024,11/30/2024,14.7439,15.8902,14.4617,15.7611,115863787.5,1063551486
NEO,11/28/2024,11/29/2024,15.0023,15.293,14.426,14.8365,115493696.5,1040945167
NEO,11/27/2024,11/28/2024,14.0156,15.0611,13.8793,15.0585,120693362.8,1013301195
NEO,11/26/2024,11/27/2024,14.2158,14.6529,13.3312,14.149,153803251.4,988479121.5
NEO,11/25/2024,11/26/2024,15.024,15.425,14.1142,14.2848,227473694.5,1051982257
NEO,11/24/2024,11/25/2024,14.3675,15.9676,13.7064,15.2903,269068330.9,1039508583
NEO,11/23/2024,11/24/2024,13.6927,15.0835,13.674,14.3631,210258685.5,1022177291
NEO,11/22/2024,11/23/2024,13.122,13.743,12.9097,13.743,186462964.7,940523899.4
NEO,11/21/2024,11/22/2024,12.3312,13.933,11.9777,13.2058,149536398.6,900457651.1
NEO,11/20/2024,11/21/2024,12.6837,12.7908,12.132,12.3249,87432590.49,877466289
NEO,11/19/2024,11/20/2024,12.9196,13.7093,12.4757,12.7968,133219793.9,909365865.4
NEO,11/18/2024,11/19/2024,12.0479,13.0797,12.0353,13.0129,90586559.56,890217915.4
NEO,11/17/2024,11/18/2024,12.8439,13.2839,11.8902,12.0581,160998123.8,874879381.8
NEO,11/16/2024,11/17/2024,11.6212,13.0877,11.5834,12.9259,107387545.3,865040468.3
NEO,11/15/2024,11/16/2024,11.1245,11.623,10.8753,11.6083,104162109.3,794783202.8
NEO,11/14/2024,11/15/2024,11.7036,11.9926,10.8212,11.0925,152437400.3,800191270
NEO,11/13/2024,11/14/2024,11.5488,11.7124,10.6257,11.2371,121726580.6,784207146.3
NEO,11/12/2024,11/13/2024,12.1362,12.6483,11.0989,11.5908,162334606.8,833496166.7
NEO,11/11/2024,11/12/2024,11.49,12.3688,11.3764,12.3688,131177686.9,825263621.5
NEO,11/10/2024,11/11/2024,10.6205,11.8432,10.5046,11.5054,91308504.49,795222681.8
NEO,11/9/2024,11/10/2024,10.3404,10.6463,10.1643,10.6443,46622767.25,727870780.5
NEO,11/8/2024,11/9/2024,10.353,10.4247,10.0883,10.3556,47696125.64,721807980.3
NEO,11/7/2024,11/8/2024,10.0261,10.3483,10.0045,10.3044,55252968.48,718382324.6
NEO,11/6/2024,11/7/2024,9.264598806,10.0542,9.264598806,10.0191,55453882.78,688050031.5
NEO,11/5/2024,11/6/2024,8.84712242,9.295930378,8.84712242,9.263795753,40860516.69,643458882.4
NEO,11/4/2024,11/5/2024,9.047030427,9.172801574,8.644779091,8.830943259,40266787.13,633376828.8
NEO,11/3/2024,11/4/2024,9.299016231,9.29947576,8.860961623,9.08366086,41639793.95,642550151.3
NEO,11/2/2024,11/3/2024,9.376952304,9.536596196,9.193104269,9.267158946,34612837.46,658129403.8
NEO,11/1/2024,11/2/2024,9.533319173,9.661288583,9.262044455,9.523138223,42997334.99,666159736.2
NEO,10/31/2024,11/1/2024,10.0683,10.0683,9.466842598,9.546651508,37121983.7,690263574.5
NEO,10/30/2024,10/31/2024,10.2219,10.2811,10.0295,10.0814,39076475.05,716562471.9
NEO,10/29/2024,10/30/2024,9.703554492,10.229,9.703554492,10.2266,36977470.19,705930373.6
NEO,10/28/2024,10/29/2024,9.621206084,9.714091673,9.40525802,9.695394679,31787777.21,673653250.8
NEO,10/27/2024,10/28/2024,9.468589578,9.660849685,9.464698596,9.616139426,29299696.04,673947856.4
NEO,10/26/2024,10/27/2024,9.399904093,9.61673778,9.314142222,9.459819274,54166741.9,668442376.3
NEO,10/25/2024,10/26/2024,10.1569,10.1736,9.333299879,9.401523678,120956198.4,706386908.7
NEO,10/24/2024,10/25/2024,10.134,10.2295,9.978232826,10.1515,40557114.09,712783192
NEO,10/23/2024,10/24/2024,10.4711,10.4839,9.970217022,10.1347,38921077.8,719671703.1
NEO,10/22/2024,10/23/2024,10.5785,10.6591,10.3546,10.4496,44616427.74,741437781.7
NEO,10/21/2024,10/22/2024,11.0436,11.0563,10.4982,10.6008,51073846.65,757571855.8
NEO,10/20/2024,10/21/2024,10.6794,10.9741,10.5098,10.9683,45148262.25,756207851
NEO,10/19/2024,10/20/2024,10.5792,10.7838,10.5123,10.6396,43741169.77,750275215.9
NEO,10/18/2024,10/19/2024,10.3796,10.5925,10.324,10.5646,35141477.99,738026160.1
NEO,10/17/2024,10/18/2024,10.6836,10.6837,10.2941,10.3774,43056698.83,736100056.8
NEO,10/16/2024,10/17/2024,10.679,10.788,10.5047,10.6338,53607096.06,751251527.3
NEO,10/15/2024,10/16/2024,10.8402,10.8661,10.3519,10.6995,57235475.45,750613187.8
NEO,10/14/2024,10/15/2024,10.4145,10.8537,10.2926,10.7813,47089800.6,746315505
NEO,10/13/2024,10/14/2024,10.6682,10.6682,10.2683,10.4119,42678302.31,736411681.1
NEO,10/12/2024,10/13/2024,10.7272,10.9998,10.6007,10.6198,59802290.18,756740161.1
NEO,10/11/2024,10/12/2024,10.165,10.6736,10.165,10.6563,66555324.97,736566620.8
NEO,10/10/2024,10/11/2024,10.0045,10.3504,9.913968097,10.1532,54140901.3,712948707.2
NEO,10/9/2024,10/10/2024,10.3323,10.4239,9.881892108,10.0011,46045855.47,716431299.4
NEO,10/8/2024,10/9/2024,10.2285,10.5296,10.0921,10.2582,57762519.03,725316660.4
NEO,10/7/2024,10/8/2024,10.3535,10.5778,10.2145,10.2164,49359974.26,734651085.9
NEO,10/6/2024,10/7/2024,9.96390144,10.3457,9.958775969,10.3457,42557340.8,712232596.4
NEO,10/5/2024,10/6/2024,10.003,10.0991,9.818027967,9.943838004,37369557.39,702970476.3
NEO,10/4/2024,10/5/2024,9.679530559,10.0074,9.583205394,9.988437188,50352735.06,694534937
NEO,10/3/2024,10/4/2024,9.704967174,9.831140801,9.418002732,9.6919244,69002364.57,681123992
NEO,10/2/2024,10/3/2024,9.842241492,10.4438,9.622334149,9.684118153,108535337.5,705912035.6
NEO,10/1/2024,10/2/2024,10.5558,10.894,9.691613304,9.882567054,123143914.9,735391830
NEO,9/30/2024,10/1/2024,10.8068,11.6782,10.5581,10.6422,121125848,773782096.9
NEO,9/29/2024,9/30/2024,10.8668,10.9683,10.6569,10.8093,43422001.74,765315716.8
NEO,9/28/2024,9/29/2024,10.9728,11.2018,10.7305,10.888,59358706.92,772878020.2
NEO,9/27/2024,9/28/2024,10.9119,11.1589,10.8989,10.9508,61811175.4,777302623.6
NEO,9/26/2024,9/27/2024,10.3639,10.9423,10.1852,10.9082,53076614.79,752932883
NEO,9/25/2024,9/26/2024,10.5567,10.6377,10.279,10.3426,66159354.44,737017749.8
NEO,9/24/2024,9/25/2024,10.1434,10.6465,10.0175,10.6071,64229751.32,731621553.7
NEO,9/23/2024,9/24/2024,10.0971,10.2841,9.940935026,10.0841,48517491.82,712679860.1
NEO,9/22/2024,9/23/2024,10.3775,10.3775,9.829772849,10.1015,52903438.6,711448576.6
NEO,9/21/2024,9/22/2024,10.1186,10.5725,10.1166,10.4247,74763613.74,730012334.5
NEO,9/20/2024,9/21/2024,9.786096325,10.2762,9.722873225,10.1197,55500446.47,706694390.8
NEO,9/19/2024,9/20/2024,9.61402273,9.835133075,9.574158503,9.76832961,49075796.09,685613194
NEO,9/18/2024,9/19/2024,9.29797795,9.505049319,8.992676411,9.49867384,41781899.13,651938946.2
NEO,9/17/2024,9/18/2024,9.202630348,9.519315814,9.108146969,9.297645461,35488591.85,656202588.2
NEO,9/16/2024,9/17/2024,9.318298526,9.419139354,9.069884526,9.229375697,36176834.96,653127603.7
NEO,9/15/2024,9/16/2024,9.68415952,9.731200827,9.28139103,9.321974312,28971663.62,673783116.4
NEO,9/14/2024,9/15/2024,9.83707081,9.83707081,9.626220144,9.690741525,32932072.42,686288689.9
NEO,9/13/2024,9/14/2024,9.692449291,9.878631596,9.485225276,9.799634019,38745055.29,681368484.7
NEO,9/12/2024,9/13/2024,9.517688658,9.702441728,9.365747418,9.702441728,41862398.95,674747929.8
NEO,9/11/2024,9/12/2024,9.636075697,9.636075697,9.236027199,9.513633922,43339333.59,667444741.3
NEO,9/10/2024,9/11/2024,9.51341501,9.68776322,9.299672751,9.633000064,47857738.85,668771627
NEO,9/9/2024,9/10/2024,9.40177314,9.610112625,9.331664884,9.531093391,36413481.02,668248648.2
NEO,9/8/2024,9/9/2024,9.113861909,9.480312297,9.098445169,9.396148626,30934285.67,655113436.6
NEO,9/7/2024,9/8/2024,9.005826543,9.304308086,9.005826543,9.10952862,44297471.9,647212749
NEO,9/6/2024,9/7/2024,9.395659611,9.567385438,8.775337308,9.006457745,41102685.39,652134883.9
NEO,9/5/2024,9/6/2024,9.633876216,9.73263364,9.341885192,9.404669796,41195469.18,674379625.5
NEO,9/4/2024,9/5/2024,9.401498723,9.729686617,9.015721247,9.614131517,46905169.54,664747015.4
NEO,9/3/2024,9/4/2024,9.736927147,10.0087,9.385869934,9.404719421,45837580.79,682536638.3
NEO,9/2/2024,9/3/2024,9.264762447,9.81096998,9.24957133,9.716771149,59550129.95,674160611.3
NEO,9/1/2024,9/2/2024,9.89210214,9.89210214,9.220733337,9.247125632,45522022.22,678878213.9
NEO,8/31/2024,9/1/2024,10.2809,10.4679,9.828926473,9.89739948,83855254.22,713796272.6
NEO,8/30/2024,8/31/2024,9.957877895,10.372,9.645958971,10.2705,84927959.68,705509773.4
NEO,8/29/2024,8/30/2024,9.722205301,10.0901,9.609184482,10.0336,46381763.77,692819273.6
NEO,8/28/2024,8/29/2024,9.76533077,10.0443,9.48207633,9.746987485,52870137.97,692336081.9
NEO,8/27/2024,8/28/2024,10.4293,10.6434,9.769165935,9.840996316,41901179.67,731390035.1
NEO,8/26/2024,8/27/2024,10.7871,10.8321,10.3498,10.419,45667189.56,749401247.1
NEO,8/25/2024,8/26/2024,10.9545,10.9703,10.4636,10.7621,60091450.09,757447515.7
NEO,8/24/2024,8/25/2024,11.0389,11.1892,10.8615,10.9491,55443924.82,779629127
NEO,8/23/2024,8/24/2024,10.401,11.1516,10.401,11.0239,51852739.92,762010248.9
NEO,8/22/2024,8/23/2024,10.2586,10.3944,10.1008,10.3944,52888937.55,724909157.3
NEO,8/21/2024,8/22/2024,10.2334,10.333,9.9481403,10.2657,78451533.85,715879425.5
NEO,8/20/2024,8/21/2024,9.808612213,10.6058,9.808612213,10.2602,157251822.8,723800268.8
NEO,8/19/2024,8/20/2024,9.204703325,9.949028637,9.194072796,9.787979204,61518437.37,673589841.7
NEO,8/18/2024,8/19/2024,9.290252992,9.464701931,9.211649333,9.233044976,31756725.65,658956972.7
