Name,Start,End,Open,High,Low,Close,Volume,Market Cap
Quant-Network,12/16/2024,12/17/2024,139.9998,141.8905,132.4695,132.992,61715108.02,1643174354
Quant-Network,12/15/2024,12/16/2024,138.3771,141.3027,133.3537,140.6224,50291017.13,1652764651
Quant-Network,12/14/2024,12/15/2024,141.7533,143.9798,135.0614,138.6463,72716733.45,1693512094
Quant-Network,12/13/2024,12/14/2024,140.7682,142.8942,137.5101,142.6798,86897411.25,1693529307
Quant-Network,12/12/2024,12/13/2024,142.5119,146.8071,137.1988,139.5197,95917491.74,1715164898
Quant-Network,12/11/2024,12/12/2024,138.0945,152.7854,131.5019,143.583,132817743.9,1696040705
Quant-Network,12/10/2024,12/11/2024,135.095,146.6994,126.1452,138.3811,186909308.6,1665387674
Quant-Network,12/9/2024,12/10/2024,159.9191,161.9915,125.2004,137.2093,119520602,1815671389
Quant-Network,12/8/2024,12/9/2024,166.0029,169.5149,159.8269,160.8587,178040106,1967067212
Quant-Network,12/7/2024,12/8/2024,162.397,170.6476,151.2172,166.2169,200977382.4,1937464568
Quant-Network,12/6/2024,12/7/2024,139.6937,162.0133,138.6178,160.3416,131655382.5,1756344373
Quant-Network,12/5/2024,12/6/2024,149.0863,149.211,138.6312,140.6709,214393686.8,1747538961
Quant-Network,12/4/2024,12/5/2024,142.7489,163.0054,141.332,149.0942,296767935.2,1819611972
Quant-Network,12/3/2024,12/4/2024,129.075,148.1173,126.8903,142.9466,444413498.1,1688459884
Quant-Network,12/2/2024,12/3/2024,110.7142,137.0866,108.7084,128.8844,251924553.6,1455785984
Quant-Network,12/1/2024,12/2/2024,99.2466,110.6741,96.6705,110.6741,74297354.83,1236505605
Quant-Network,11/30/2024,12/1/2024,97.5266,101.0808,94.4133,99.0472,68924369.33,1189469019
Quant-Network,11/29/2024,11/30/2024,94.3761,98.4234,92.2011,97.9963,49422639.51,1144830293
Quant-Network,11/28/2024,11/29/2024,95.7445,96.0509,90.9637,94.4,60018906.88,1129422497
Quant-Network,11/27/2024,11/28/2024,93.5413,96.4723,91.8458,95.878,70490617.05,1136433266
Quant-Network,11/26/2024,11/27/2024,95.7141,101.5797,91.0822,93.8118,75197239.25,1157269281
Quant-Network,11/25/2024,11/26/2024,96.8816,102.8911,94.0527,95.908,85329741.38,1184458874
Quant-Network,11/24/2024,11/25/2024,99.0797,104.0124,92.5632,97.4079,102268420.5,1182359076
Quant-Network,11/23/2024,11/24/2024,92.4555,107.772,92.4555,99.131,146461136.2,1200422799
Quant-Network,11/22/2024,11/23/2024,86.4083,92.9624,83.3906,91.985,78385835.31,1051711435
Quant-Network,11/21/2024,11/22/2024,87.6621,89.8834,85.1934,86.6049,73135869.29,1054831468
Quant-Network,11/20/2024,11/21/2024,91.3515,91.7798,84.2327,88.0199,83926097.29,1057935162
Quant-Network,11/19/2024,11/20/2024,87.5202,95.9985,86.9284,91.4858,90286041.96,1082395123
Quant-Network,11/18/2024,11/19/2024,80.0525,92.078,80.0525,87.2104,127007106.4,1058829029
Quant-Network,11/17/2024,11/18/2024,87.1353,87.1538,77.7655,79.3745,279034554.4,981209530.5
Quant-Network,11/16/2024,11/17/2024,65.9732,93.4308,65.146,87.8369,99337347.41,886531185.9
Quant-Network,11/15/2024,11/16/2024,61.4212,66.3937,60.3452,65.9279,39691913.67,755363070.8
Quant-Network,11/14/2024,11/15/2024,62.1582,64.1232,59.8228,61.5524,46867397.24,749302821.3
Quant-Network,11/13/2024,11/14/2024,63.0527,63.9088,59.0906,61.7112,59313153.86,740536028.1
Quant-Network,11/12/2024,11/13/2024,69.9482,69.9482,62.3554,63.0757,58650125.39,793958011.5
Quant-Network,11/11/2024,11/12/2024,67.6941,70.419,65.6229,70.419,44887560.24,821684879.9
Quant-Network,11/10/2024,11/11/2024,63.1753,69.9192,63.0206,67.3688,30821543.72,802689204.9
Quant-Network,11/9/2024,11/10/2024,61.3414,63.8632,60.9494,63.6005,22110747.97,749767167.4
Quant-Network,11/8/2024,11/9/2024,62.2501,62.5744,59.9371,61.4818,21013421.07,738810636.1
Quant-Network,11/7/2024,11/8/2024,61.8813,63.489,61.158,62.0869,27261249.14,751374658.8
Quant-Network,11/6/2024,11/7/2024,57.0492,62.1462,56.92,61.8269,29471850.58,734907031.9
Quant-Network,11/5/2024,11/6/2024,56.2546,57.7938,56.2415,56.9603,18196967.98,685809082.6
Quant-Network,11/4/2024,11/5/2024,56.2253,57.3278,55.3069,56.1337,17994137.24,682832374.4
Quant-Network,11/3/2024,11/4/2024,57.4409,57.6348,54.601,56.1572,16515920.33,678396337.3
Quant-Network,11/2/2024,11/3/2024,58.2401,59.0356,56.2461,57.4448,17618852.89,695584513.1
Quant-Network,11/1/2024,11/2/2024,59.1124,59.6227,57.5506,58.1774,21616221.23,706405615.3
Quant-Network,10/31/2024,11/1/2024,61.3368,61.4515,58.7417,59.1319,18882360.64,728829876.4
Quant-Network,10/30/2024,10/31/2024,62.3814,62.6871,60.9917,61.4044,22241768.85,747409900.1
Quant-Network,10/29/2024,10/30/2024,61.0697,62.8856,60.9395,62.0299,23294861.27,749527609.8
Quant-Network,10/28/2024,10/29/2024,62.1286,63.1526,60.1149,61.092,16958820.1,745495845.3
Quant-Network,10/27/2024,10/28/2024,61.8738,62.6544,61.5605,62.1868,14610265.56,749116287
Quant-Network,10/26/2024,10/27/2024,59.4549,62.0453,59.3935,62.0453,24917232.13,730102031.7
Quant-Network,10/25/2024,10/26/2024,64.0255,64.1857,59.2692,59.7079,200692683.2,759705285.5
Quant-Network,10/24/2024,10/25/2024,63.4768,64.4283,62.8245,63.9903,19689151.59,767101318.2
Quant-Network,10/23/2024,10/24/2024,64.9421,65.1447,62.5172,63.3469,18132666.66,773477999.6
Quant-Network,10/22/2024,10/23/2024,65.4148,66.1253,64.7065,64.9101,18937484.14,789337518
Quant-Network,10/21/2024,10/22/2024,67.1408,67.8127,65.0205,65.3738,18023602.51,803019825.4
Quant-Network,10/20/2024,10/21/2024,65.6623,67.1135,64.7333,67.0991,14419997.4,796177439.2
Quant-Network,10/19/2024,10/20/2024,66.3502,66.8241,64.9269,65.6431,14096771.23,793382453.1
Quant-Network,10/18/2024,10/19/2024,64.5001,66.3084,64.3191,66.3084,16841189.11,790079722.2
Quant-Network,10/17/2024,10/18/2024,66.1229,66.4717,64.3961,64.5842,15729366.07,790199069.9
Quant-Network,10/16/2024,10/17/2024,67.1,67.1,66.0071,66.0498,24079295.72,801333516.3
Quant-Network,10/15/2024,10/16/2024,68.2477,68.6033,65.8041,66.943,25955463.49,807587278.7
Quant-Network,10/14/2024,10/15/2024,64.9205,68.0128,64.6236,67.9465,22234096.11,806666932.3
Quant-Network,10/13/2024,10/14/2024,66.6548,66.8955,64.3596,64.7821,14940519.41,793289253.3
Quant-Network,10/12/2024,10/13/2024,66.7441,67.7274,66.3622,66.5076,15889155.31,808118904
Quant-Network,10/11/2024,10/12/2024,65.9649,67.7415,65.8219,66.6065,15729571.46,806039288.7
