Name,Start,End,Open,High,Low,Close,Volume,Market Cap
Sandbox,12/16/2024,12/17/2024,0.748903115,0.766536967,0.704571391,0.717987439,614150071.5,1770544803
Sandbox,12/15/2024,12/16/2024,0.730090513,0.76530182,0.706612068,0.753187814,506155961.5,1783935209
Sandbox,12/14/2024,12/15/2024,0.779310624,0.787462926,0.716634023,0.731750954,584775855.3,1825632533
Sandbox,12/13/2024,12/14/2024,0.782141062,0.789446569,0.749392232,0.779837972,927537160.8,1877416896
Sandbox,12/12/2024,12/13/2024,0.785032832,0.828577975,0.766661017,0.773784325,1250723246,1926513203
Sandbox,12/11/2024,12/12/2024,0.700576712,0.811776158,0.663938603,0.792641331,1401734285,1765806429
Sandbox,12/10/2024,12/11/2024,0.722395613,0.752468469,0.633630306,0.698792906,1980417091,1711231072
Sandbox,12/9/2024,12/10/2024,0.905745224,0.905745224,0.670273481,0.739768327,1012918645,2025500221
Sandbox,12/8/2024,12/9/2024,0.912845774,0.941989266,0.891805217,0.916398032,1084626681,2209988296
Sandbox,12/7/2024,12/8/2024,0.903715896,0.922018295,0.877554262,0.920391245,1209601250,2190076437
Sandbox,12/6/2024,12/7/2024,0.951390437,0.951390437,0.864728201,0.90651062,2489168252,2197888721
Sandbox,12/5/2024,12/6/2024,0.916790239,0.965202707,0.850317226,0.892419355,5421258053,2228078372
Sandbox,12/4/2024,12/5/2024,0.767100822,1.05741653,0.752341685,0.929761367,4216244099,2152547089
Sandbox,12/3/2024,12/4/2024,0.762495721,0.886688453,0.675413815,0.775098665,3545639701,1892376066
Sandbox,12/2/2024,12/3/2024,0.670779496,0.723912062,0.605543223,0.723912062,1058234397,1563253443
Sandbox,12/1/2024,12/2/2024,0.66966135,0.68106509,0.63970511,0.674369059,1093218456,1599449101
Sandbox,11/30/2024,12/1/2024,0.647482699,0.710817945,0.637044705,0.668935369,1162428418,1585579783
Sandbox,11/29/2024,11/30/2024,0.610990883,0.687638771,0.610822923,0.653241316,1709930354,1548443738
Sandbox,11/28/2024,11/29/2024,0.613499672,0.620893576,0.582986741,0.618273703,1157352535,1430290864
Sandbox,11/27/2024,11/28/2024,0.600907747,0.631782776,0.579684702,0.621594994,2116808815,1456424882
Sandbox,11/26/2024,11/27/2024,0.686785832,0.69891537,0.585660579,0.614552953,4143094510,1507301426
Sandbox,11/25/2024,11/26/2024,0.789833991,0.857375911,0.678589082,0.70376024,10617208475,1786622845
