Name,Start,End,Open,High,Low,Close,Volume,Market Cap
Uniswap,12/16/2024,12/17/2024,16.984,17.4162,16.2496,16.2627,901537012.3,10003251484
Uniswap,12/15/2024,12/16/2024,16.7831,17.1391,16.2379,17.1288,880090009.2,10021553036
Uniswap,12/14/2024,12/15/2024,17.3618,17.7197,16.4976,16.7632,836370766.3,10228561730
Uniswap,12/13/2024,12/14/2024,17.7518,18.0904,16.9832,17.4458,1280858765,10462359082
Uniswap,12/12/2024,12/13/2024,17.1125,18.9405,16.9145,17.6652,1684227750,10849512907
Uniswap,12/11/2024,12/12/2024,15.2392,17.2021,14.7816,17.0559,1813371841,9691813134
Uniswap,12/10/2024,12/11/2024,15.7919,16.6281,14.0952,15.2237,2510033644,9293267706
Uniswap,12/9/2024,12/10/2024,18.689,18.7939,14.6938,16.1005,1745569088,10376592106
Uniswap,12/8/2024,12/9/2024,18.2716,19.3793,17.5514,18.6519,1701638275,11008822113
Uniswap,12/7/2024,12/8/2024,17.5609,18.5375,17.2718,18.1451,2120681442,10644355250
Uniswap,12/6/2024,12/7/2024,15.1068,18.3895,15.1068,17.5738,1711360566,9988999193
Uniswap,12/5/2024,12/6/2024,15.6685,15.8938,14.6835,15.1113,1622129622,9232257406
Uniswap,12/4/2024,12/5/2024,15.1749,16.4515,14.7364,15.6465,1908952714,9328237246
Uniswap,12/3/2024,12/4/2024,13.9054,15.2609,13.2395,15.1249,1890373863,8529709732
Uniswap,12/2/2024,12/3/2024,13.1292,14.3724,12.5659,13.9404,1435020916,8079775659
Uniswap,12/1/2024,12/2/2024,12.8575,13.2793,12.6339,13.043,793389504.2,7812222061
Uniswap,11/30/2024,12/1/2024,12.557,13.347,12.5466,12.7922,803694265.5,7729735581
Uniswap,11/29/2024,11/30/2024,12.8495,12.9483,12.3499,12.609,751823635.8,7604586493
Uniswap,11/28/2024,11/29/2024,13.4456,13.4456,12.4173,12.7926,1767048166,7644435890
Uniswap,11/27/2024,11/28/2024,10.8692,13.7373,10.7599,13.5011,1246380868,7336960720
Uniswap,11/26/2024,11/27/2024,11.0131,11.7521,10.5328,10.8631,1376445241,6641058645
Uniswap,11/25/2024,11/26/2024,10.715,12.3442,10.4855,11.0605,1273782563,6802016080
Uniswap,11/24/2024,11/25/2024,10.6873,11.2568,10.1368,10.8094,1265023935,6418748227
Uniswap,11/23/2024,11/24/2024,9.7550445,11.1369,9.754862706,10.6564,1172739384,6295917919
Uniswap,11/22/2024,11/23/2024,9.263442225,9.805825144,9.139845562,9.805825144,945991854.7,5630794882
Uniswap,11/21/2024,11/22/2024,8.790174586,9.486689774,8.516312949,9.276890281,607252527.4,5390897502
Uniswap,11/20/2024,11/21/2024,9.381457527,9.381457527,8.566163497,8.780875902,484815592.9,5387068724
Uniswap,11/19/2024,11/20/2024,9.312870377,9.60837073,9.11851076,9.410213232,587356921.6,5586865753
Uniswap,11/18/2024,11/19/2024,8.722631023,9.356571608,8.718727588,9.257904858,483338612.8,5454340018
Uniswap,11/17/2024,11/18/2024,9.058251802,9.328001671,8.590073674,8.711942248,597656112.2,5333590440
Uniswap,11/16/2024,11/17/2024,8.511531993,9.226971622,8.493856481,9.040894229,579483663.6,5341566486
Uniswap,11/15/2024,11/16/2024,8.212735321,8.553764186,7.876233357,8.544666523,755931458,4930348659
Uniswap,11/14/2024,11/15/2024,8.600024821,8.788758635,8.079624802,8.17158967,895995979.1,5093573590
Uniswap,11/13/2024,11/14/2024,8.956172093,9.093115336,8.264720676,8.608409535,1162169189,5181766607
Uniswap,11/12/2024,11/13/2024,9.205887504,10.5679,8.654315936,8.991103492,1829415102,5546913179
Uniswap,11/11/2024,11/12/2024,9.232791193,9.395007599,8.804578413,9.346337566,1077066327,5451363049
Uniswap,11/10/2024,11/11/2024,9.207708852,9.556756228,8.793331636,9.21417348,781806277.9,5564616729
Uniswap,11/9/2024,11/10/2024,8.80782647,9.311615197,8.651711575,9.22822059,518959525.9,5367860768
Uniswap,11/8/2024,11/9/2024,8.920731553,9.004046075,8.523312964,8.818677502,616627292.9,5260816379
Uniswap,11/7/2024,11/8/2024,9.320256785,9.485981055,8.817391431,8.896396233,1454177010,5434458669
Uniswap,11/6/2024,11/7/2024,7.254757339,9.606633964,7.251997275,9.321087207,1465177326,5330361316
Uniswap,11/5/2024,11/6/2024,6.826908565,7.256203171,6.806716938,7.18998868,210568551.6,4214912911
Uniswap,11/4/2024,11/5/2024,7.036047465,7.124012173,6.675674773,6.806966345,217999667.1,4158997801
Uniswap,11/3/2024,11/4/2024,7.389643216,7.405991072,6.866703599,7.06789625,260719310.5,4277172650
Uniswap,11/2/2024,11/3/2024,7.557593272,7.742443367,7.319349126,7.376179022,358213213.9,4469162885
Uniswap,11/1/2024,11/2/2024,7.631906044,7.998521956,7.514574728,7.547839817,384769826.9,4641029596
Uniswap,10/31/2024,11/1/2024,8.130191459,8.157277537,7.491266013,7.597188045,319485577.7,4685780233
Uniswap,10/30/2024,10/31/2024,7.920482728,8.2863165,7.834643855,8.101847872,307362825.1,4825777745
Uniswap,10/29/2024,10/30/2024,7.777054267,7.97426939,7.752195165,7.901786103,310340044.2,4727769332
Uniswap,10/28/2024,10/29/2024,7.593592314,7.761108632,7.42961061,7.761108632,276913836.4,4547675243
Uniswap,10/27/2024,10/28/2024,7.501920183,7.737171293,7.474642449,7.601289355,321814872,4550314723
Uniswap,10/26/2024,10/27/2024,7.434528873,7.755645522,7.380364413,7.510137006,572682974.1,4528763110
Uniswap,10/25/2024,10/26/2024,7.959996989,8.096122793,7.394164214,7.436607858,759117725.2,4737019761
Uniswap,10/24/2024,10/25/2024,7.837282536,8.091704132,7.811881554,7.943400135,473041270.1,4779748294
Uniswap,10/23/2024,10/24/2024,7.998559934,7.998559934,7.561017543,7.820237877,610283113.7,4649482741
Uniswap,10/22/2024,10/23/2024,7.818364373,8.306436687,7.704115623,7.986679813,790142244.6,4799373858
Uniswap,10/21/2024,10/22/2024,7.742761696,7.924533987,7.422126282,7.788224584,353635146.1,4596578980
Uniswap,10/20/2024,10/21/2024,7.343581504,7.742158049,7.316324501,7.731406816,262286273.6,4507623382
Uniswap,10/19/2024,10/20/2024,7.467111797,7.581598225,7.332850052,7.33843036,217175527.2,4468058585
Uniswap,10/18/2024,10/19/2024,7.359162306,7.501637447,7.350864388,7.46417783,262559592.6,4465226845
Uniswap,10/17/2024,10/18/2024,7.590551807,7.643606042,7.24335165,7.35760002,265335398.2,4465027383
Uniswap,10/16/2024,10/17/2024,7.822413255,7.97740333,7.564089108,7.572057101,426139958.1,4644376734
Uniswap,10/15/2024,10/16/2024,8.085708113,8.246220586,7.691039307,7.827139248,521870064.6,4764708722
Uniswap,10/14/2024,10/15/2024,7.675194311,8.253832056,7.604658169,8.099429006,674508425.7,4779754706
Uniswap,10/13/2024,10/14/2024,8.113630819,8.120634838,7.591312053,7.680806874,537311637.1,4714672307
Uniswap,10/12/2024,10/13/2024,7.892500293,8.259218052,7.761448613,8.118777557,609395281.3,4782285243
Uniswap,10/11/2024,10/12/2024,8.092386593,8.173263096,7.868512173,7.884969596,1535973380,4806618589
Uniswap,10/10/2024,10/11/2024,7.289166139,8.426630124,7.228008221,8.104488801,930370976.5,4689254634
Uniswap,10/9/2024,10/10/2024,7.185894364,7.361294956,7.083619959,7.282487838,235028515.5,4319484340
Uniswap,10/8/2024,10/9/2024,7.24785643,7.2945593,7.019079235,7.183311814,296672221.6,4295083789
Uniswap,10/7/2024,10/8/2024,7.086882507,7.442602868,7.076204543,7.22571869,263103439.6,4388377464
Uniswap,10/6/2024,10/7/2024,6.824236217,7.081355946,6.797006917,7.073422718,170271312.9,4137552016
Uniswap,10/5/2024,10/6/2024,6.735372838,6.895832887,6.686444484,6.839232451,200994971.5,4078020339
Uniswap,10/4/2024,10/5/2024,6.590952023,6.818002008,6.557268673,6.732528389,268423155.9,4032918324
Uniswap,10/3/2024,10/4/2024,6.67363813,6.802484406,6.436964399,6.580303681,329380948.5,3969665325
Uniswap,10/2/2024,10/3/2024,6.883465655,7.286336894,6.648249761,6.701962812,449693670,4177265780
Uniswap,10/1/2024,10/2/2024,7.412018374,7.843980791,6.888542637,6.92024763,407939803.5,4443734882
Uniswap,9/30/2024,10/1/2024,7.461426254,7.716374412,7.298980183,7.392765583,301447511,4502115169
Uniswap,9/29/2024,9/30/2024,7.603043289,7.619049287,7.390084943,7.459284407,226633558.6,4491618334
Uniswap,9/28/2024,9/29/2024,7.628143879,7.842298064,7.421738765,7.610855675,325255943.9,4578823937
Uniswap,9/27/2024,9/28/2024,7.343862581,7.685968703,7.293703328,7.613158766,335173441.1,4476725370
