Name,Start,End,Open,High,Low,Close,Volume,Market Cap
USD-Coin,12/16/2024,12/17/2024,0.9999,1.0001,0.9997,0.9997,8835072837,41224642749
USD-Coin,12/15/2024,12/16/2024,0.9999,1,0.9999,0.9999,5263298154,41225030603
USD-Coin,12/14/2024,12/15/2024,1,1,0.9998,0.9999,6612876295,41225016238
USD-Coin,12/13/2024,12/14/2024,0.9999,1,0.9999,1,8638634089,41225289172
USD-Coin,12/12/2024,12/13/2024,0.9999,1,0.9999,0.9999,9507481508,41225174252
USD-Coin,12/11/2024,12/12/2024,1,1.0001,0.9998,1,11500055049,41224772034
USD-Coin,12/10/2024,12/11/2024,0.9999,1,0.9998,1,14556434369,41224671479
USD-Coin,12/9/2024,12/10/2024,1,1.0001,0.9998,0.9999,8105874087,41224843858
USD-Coin,12/8/2024,12/9/2024,1,1.0001,0.9998,0.9999,5499973968,41225001873
USD-Coin,12/7/2024,12/8/2024,1,1.0001,0.9999,0.9999,9174522144,41018454939
USD-Coin,12/6/2024,12/7/2024,1,1,0.9998,0.9999,15583177364,40182718428
USD-Coin,12/5/2024,12/6/2024,1,1.0001,0.9998,0.9999,16966217203,40182718428
USD-Coin,12/4/2024,12/5/2024,0.9999,1,0.9999,0.9999,11301925684,39362156447
USD-Coin,12/3/2024,12/4/2024,0.9999,1,0.9998,1,11720115770,39010534022
USD-Coin,12/2/2024,12/3/2024,0.9999,1,0.9998,1,9234211973,39010466056
USD-Coin,12/1/2024,12/2/2024,0.9999,1.0001,0.9998,1,5731780226,39010452463
USD-Coin,11/30/2024,12/1/2024,0.9999,1.0001,0.9999,1,7480504441,39010669954
USD-Coin,11/29/2024,11/30/2024,0.9999,1.0001,0.9998,0.9999,7147204295,39010846665
USD-Coin,11/28/2024,11/29/2024,0.9999,1,0.9998,1,9759567259,39010710733
USD-Coin,11/27/2024,11/28/2024,0.9999,1.0001,0.9997,1,10801800684,39010724326
USD-Coin,11/26/2024,11/27/2024,0.9997,1,0.9996,1,12427156581,39008753313
