Name,Start,End,Open,High,Low,Close,Volume,Market Cap
Wrapped-Bitcoin,12/11/2024,12/12/2024,96496.06,101520,95585.63,100810,441247384.6,15329576019
Wrapped-Bitcoin,12/10/2024,12/11/2024,96883.56,97909.98,94180.9,96388.46,242031449.3,15027749076
Wrapped-Bitcoin,12/9/2024,12/10/2024,100645,100645,94801.61,97206.12,132508954.8,15278981782
Wrapped-Bitcoin,12/8/2024,12/9/2024,99681.78,100808,98713.77,100808,87995303.99,15484954147
Wrapped-Bitcoin,12/7/2024,12/8/2024,99566.21,100208,98871.69,99556.41,170340986.4,15466798415
Wrapped-Bitcoin,12/6/2024,12/7/2024,96281.2,101581,96201.93,99563.75,308220304.6,15335557766
Wrapped-Bitcoin,12/5/2024,12/6/2024,98267.28,103059,93822.33,96647.53,192221620.4,15659833731
Wrapped-Bitcoin,12/4/2024,12/5/2024,95673.34,98636.3,94582.63,98442.11,152698635.7,14951301718
Wrapped-Bitcoin,12/3/2024,12/4/2024,95654.37,96067.55,93505.67,95757.84,119548414.9,14820418455
Wrapped-Bitcoin,12/2/2024,12/3/2024,96980.63,97762.03,94519.8,95623.21,103133725.3,14911535046
Wrapped-Bitcoin,12/1/2024,12/2/2024,96369.3,97575.26,95627.67,97099.44,104552502.5,15037691386
Wrapped-Bitcoin,11/30/2024,12/1/2024,97175.53,97178.22,96025.19,96277.03,132703701.7,15014443577
Wrapped-Bitcoin,11/29/2024,11/30/2024,95564.57,98291.65,95354.15,97229.71,71248794.84,15033333534
Wrapped-Bitcoin,11/28/2024,11/29/2024,95738.05,96434.7,94630.53,95508.82,129030338.8,14820709695
Wrapped-Bitcoin,11/27/2024,11/28/2024,91732.8,97106.19,91683.54,95788.67,250213355.8,14634784767
Wrapped-Bitcoin,11/26/2024,11/27/2024,92906.32,94792.65,90826.59,91903.52,238705471.5,14459265466
Wrapped-Bitcoin,11/25/2024,11/26/2024,97502.46,98536.38,92771.06,92920.66,248093843.2,15012904913
Wrapped-Bitcoin,11/24/2024,11/25/2024,97434.59,98205.11,95518.8,97623.14,233467449.8,15107080896
Wrapped-Bitcoin,11/23/2024,11/24/2024,98566.7,98616.48,97021.25,97381.85,162079784.3,15243651828
Wrapped-Bitcoin,11/22/2024,11/23/2024,98051.34,99164.37,97062.23,98638.26,176241933.5,15302206682
Wrapped-Bitcoin,11/21/2024,11/22/2024,94033.02,98397.6,93877.2,98138.86,246265642.5,15055938426
Wrapped-Bitcoin,11/20/2024,11/21/2024,92033.26,94533.65,91432.94,93951.75,211778482.9,14473018717
Wrapped-Bitcoin,11/19/2024,11/20/2024,90390.7,93515.91,90390.7,91979.69,139417869.3,14271251057
Wrapped-Bitcoin,11/18/2024,11/19/2024,89670.81,92254.58,89373.16,90465.65,83519627.3,14119516150
Wrapped-Bitcoin,11/17/2024,11/18/2024,90302.93,91153.73,88841.95,89528.54,45807250.49,14018578710
Wrapped-Bitcoin,11/16/2024,11/17/2024,90910.05,91402.74,90122.6,90188.34,72817824.1,14129801544
Wrapped-Bitcoin,11/15/2024,11/16/2024,87485.48,91432.39,87019.37,90928.31,110813794.1,13834228548
Wrapped-Bitcoin,11/14/2024,11/15/2024,90121.39,91347.28,86794.3,87142.15,177656783.8,13912659278
Wrapped-Bitcoin,11/13/2024,11/14/2024,87963.87,92935.21,86062.34,90203.58,234537954.1,13801307610
Wrapped-Bitcoin,11/12/2024,11/13/2024,88028.71,89689.46,85092.82,87995.85,236515030.3,13656165112
Wrapped-Bitcoin,11/11/2024,11/12/2024,80383.22,89072.48,80301.06,88347.08,215787428.8,12905577932
Wrapped-Bitcoin,11/10/2024,11/11/2024,76504.21,81043.96,76504.21,80321.3,84621340,12286852454
Wrapped-Bitcoin,11/9/2024,11/10/2024,76366.13,76775.58,75698.35,76552.31,84057532.7,11864948577
Wrapped-Bitcoin,11/8/2024,11/9/2024,75823.79,77017.6,75526.49,76401.75,109725757.5,11824845105
Wrapped-Bitcoin,11/7/2024,11/8/2024,75507.88,76624.78,74414.89,75821.63,173158182.7,11707579856
Wrapped-Bitcoin,11/6/2024,11/7/2024,69296.03,75980.07,69296.03,75482.29,178275290.4,11510805862
Wrapped-Bitcoin,11/5/2024,11/6/2024,67713.71,70302.01,67478.22,69363.11,71676821.29,10712862388
Wrapped-Bitcoin,11/4/2024,11/5/2024,68687.7,69332.61,66800.05,67676.17,65842141.47,10634902910
Wrapped-Bitcoin,11/3/2024,11/4/2024,69201.48,69416.57,67516.6,68810.18,51787301.82,10638367062
Wrapped-Bitcoin,11/2/2024,11/3/2024,69451.88,69713.48,68982.69,69198.82,51680900.5,10794364542
Wrapped-Bitcoin,11/1/2024,11/2/2024,70249.94,71322.81,68780.62,69384.71,92916868.4,10828716280
Wrapped-Bitcoin,10/31/2024,11/1/2024,72260.54,72528.13,69747.88,70288.14,90443596.48,11104312058
Wrapped-Bitcoin,10/30/2024,10/31/2024,72524.86,72711.83,71551.66,72332.59,103991023.6,11212476112
Wrapped-Bitcoin,10/29/2024,10/30/2024,69845.72,73384.14,69729.02,72644.91,122147206,11120603074
Wrapped-Bitcoin,10/28/2024,10/29/2024,67922.4,70038.72,67541.49,69794.73,48292395.51,10659590122
Wrapped-Bitcoin,10/27/2024,10/28/2024,67043.17,68144.21,66880.43,67938.09,49948712.1,10472335763
Wrapped-Bitcoin,10/26/2024,10/27/2024,66631.62,67274.91,66389.31,67038.79,73984915.75,10404600025
Wrapped-Bitcoin,10/25/2024,10/26/2024,68105.46,68522.26,65147.54,66479.84,991234451.9,10489169350
Wrapped-Bitcoin,10/24/2024,10/25/2024,66566.98,68555.1,66420.86,68086.51,85268681.59,10477299228
Wrapped-Bitcoin,10/23/2024,10/24/2024,67306.43,67306.43,65175.3,66599.18,44070583.16,10341470193
Wrapped-Bitcoin,10/22/2024,10/23/2024,67317.63,67728.63,66656.6,67316.9,43674566.59,10455767327
Wrapped-Bitcoin,10/21/2024,10/22/2024,68939.57,69282.35,66905,67380.99,46747196.95,10587648709
Wrapped-Bitcoin,10/20/2024,10/21/2024,68253.73,69159.22,67979.67,68850.65,17680018.73,10625408395
Wrapped-Bitcoin,10/19/2024,10/20/2024,68342.87,68495.31,67827.54,68244.54,47312475.17,10598715768
Wrapped-Bitcoin,10/18/2024,10/19/2024,67297.88,68847.16,67110.36,68337.66,128612163.1,10575637347
Wrapped-Bitcoin,10/17/2024,10/18/2024,67524.43,67778.63,66715.72,67234.47,80025554.53,10441809631
Wrapped-Bitcoin,10/16/2024,10/17/2024,66940.54,68125.49,66710.4,67507.27,112491775.6,10477868962
Wrapped-Bitcoin,10/15/2024,10/16/2024,65965.46,67550.27,64876.78,66884.22,113251615.3,10256398406
Wrapped-Bitcoin,10/14/2024,10/15/2024,62759.45,66280.01,62410.74,65963.16,60811685.09,10059179856
Wrapped-Bitcoin,10/13/2024,10/14/2024,63149.96,63211.67,62069.31,62728.75,23869677.87,9745165446
Wrapped-Bitcoin,10/12/2024,10/13/2024,62462.6,65296.94,62424.86,63141.16,31694387.4,9776837064
Wrapped-Bitcoin,10/11/2024,10/12/2024,60250.52,63250.96,60053.81,62330.62,73878578.27,9553839865
Wrapped-Bitcoin,10/10/2024,10/11/2024,60523.54,61194.96,58999.5,60149.61,125372460.4,9405391027
Wrapped-Bitcoin,10/9/2024,10/10/2024,62037.05,62387.32,60355.79,60565.53,94848406.95,9601515619
Wrapped-Bitcoin,10/8/2024,10/9/2024,62178.96,63003.8,61815.8,62099.06,58929664.46,9688231491
Wrapped-Bitcoin,10/7/2024,10/8/2024,62608.17,64139.63,62136.79,62231.55,30649351.24,9834756890
Wrapped-Bitcoin,10/6/2024,10/7/2024,61832.31,62771.45,61729.17,62694.54,13477975.4,9664180126
Wrapped-Bitcoin,10/5/2024,10/6/2024,62068.78,62261.94,61625.64,61949.79,25257963.62,9636706251
Wrapped-Bitcoin,10/4/2024,10/5/2024,60694.12,62324.74,60427.2,62029.91,53848116.05,9561837217
Wrapped-Bitcoin,10/3/2024,10/4/2024,60464.26,61364.42,59924.24,60723.46,52743392.53,9440248466
Wrapped-Bitcoin,10/2/2024,10/3/2024,60790.23,62242.17,59989.76,60564.23,56102997.38,9516597040
Wrapped-Bitcoin,10/1/2024,10/2/2024,63248.3,63970.8,60287.95,60878.38,41967677.19,9759465890
Wrapped-Bitcoin,9/30/2024,10/1/2024,65457.93,65463.78,62840.99,63110.05,45661374.55,9937174584
Wrapped-Bitcoin,9/29/2024,9/30/2024,65729.93,66048.15,65306.49,65544.15,19232431.95,10196450651
Wrapped-Bitcoin,9/28/2024,9/29/2024,65661.11,66117.33,65151.63,65688.93,29858201.16,10199366555
Wrapped-Bitcoin,9/27/2024,9/28/2024,64904.68,66104.31,64706.77,65644.62,42182890.18,10164760181
Wrapped-Bitcoin,9/26/2024,9/27/2024,63020.59,65448.43,62690.83,64892.69,49486666.77,9970638468
Wrapped-Bitcoin,9/25/2024,9/26/2024,64057.54,64508.27,62855.43,62981.85,75959122.54,9888284500
Wrapped-Bitcoin,9/24/2024,9/25/2024,63258.28,64428.2,62620.54,64175.08,102461810.5,9852906662
Wrapped-Bitcoin,9/23/2024,9/24/2024,63450.71,64580.63,62841.94,63255.37,60837334.42,9860398909
Wrapped-Bitcoin,9/22/2024,9/23/2024,63269.38,63848.91,62339.12,63476.66,15585612.2,9778060327
Wrapped-Bitcoin,9/21/2024,9/22/2024,63041.23,63610.08,62513.63,63337.28,28203030.07,9795760604
Wrapped-Bitcoin,9/20/2024,9/21/2024,62830.22,63967.31,62358.57,63057.3,49302532.54,9813939581
Wrapped-Bitcoin,9/19/2024,9/20/2024,61764.32,63719.89,61612.7,62823.27,64045767.38,9723398319
Wrapped-Bitcoin,9/18/2024,9/19/2024,60254.9,61368.81,59074.81,61368.81,42466352.07,9345503210
Wrapped-Bitcoin,9/17/2024,9/18/2024,58128.12,61048.94,57675.68,60201.65,30182853.71,9213757477
Wrapped-Bitcoin,9/16/2024,9/17/2024,59052.04,59115.23,57557.38,58217.33,50396516.63,9062971158
Wrapped-Bitcoin,9/15/2024,9/16/2024,59898.06,60239.15,58850.77,59102.46,20786219.44,9310313017
Wrapped-Bitcoin,9/14/2024,9/15/2024,60438.41,60448.66,59402.78,59903.42,43092992.89,9318027991
Wrapped-Bitcoin,9/13/2024,9/14/2024,58120.27,60447.19,57617.22,60392.87,51029486.68,9114777611
Wrapped-Bitcoin,9/12/2024,9/13/2024,57350.38,58633.5,57350.38,58080.66,54994148.28,9015466391
Wrapped-Bitcoin,9/11/2024,9/12/2024,57582.28,57878.52,55431.88,57372.07,31735696.45,8840506275
Wrapped-Bitcoin,9/10/2024,9/11/2024,56968.3,57852.91,56454.75,57560.47,31925769.83,8869306656
Wrapped-Bitcoin,9/9/2024,9/10/2024,54753.02,57792.42,54585.41,57055.49,27800327.73,8651146424
Wrapped-Bitcoin,9/8/2024,9/9/2024,54133.08,55248.94,53721.19,54788.94,21931061.3,8446138838
Wrapped-Bitcoin,9/7/2024,9/8/2024,53975.67,54748.83,53723.94,54105.2,72461605,8423288746
Wrapped-Bitcoin,9/6/2024,9/7/2024,56101.2,56937.09,52638.72,53832.86,62212285.22,8589981022
Wrapped-Bitcoin,9/5/2024,9/6/2024,57906.72,58196.41,55877.02,56110.81,52899305.49,8822148618
Wrapped-Bitcoin,9/4/2024,9/5/2024,57480.7,58421.31,55836.68,57924.75,49563738.04,8882018434
Wrapped-Bitcoin,9/3/2024,9/4/2024,59033.94,59679.03,57485.6,57485.6,34009353.02,9102902246
Wrapped-Bitcoin,9/2/2024,9/3/2024,57269.69,59216.57,57236.09,59120.88,37864451.66,9044893902
Wrapped-Bitcoin,9/1/2024,9/2/2024,58903,58966.33,57262.28,57263.89,27096888.89,9044010153
Wrapped-Bitcoin,8/31/2024,9/1/2024,59034.37,59287.87,58734.05,58903.35,28115037.22,9176358616
Wrapped-Bitcoin,8/30/2024,8/31/2024,59288.19,59704.95,57958.77,59080.91,34827748.3,9177104213
Wrapped-Bitcoin,8/29/2024,8/30/2024,59015.27,61009.45,58822.67,59294.22,56133989.82,9269334448
Wrapped-Bitcoin,8/28/2024,8/29/2024,59390.4,60061.3,57821.7,59071.69,83512966.17,9208366347
Wrapped-Bitcoin,8/27/2024,8/28/2024,62643.38,63066.18,58609.82,59511.47,50481944.1,9651061025
Wrapped-Bitcoin,8/26/2024,8/27/2024,64195.22,64195.22,62768.12,62786,68894800.49,9876877776
Wrapped-Bitcoin,8/25/2024,8/26/2024,64074.88,64685.65,63686.07,64105.27,46135842.91,9949158686
Wrapped-Bitcoin,8/24/2024,8/25/2024,63959.33,64364.5,63487.64,63946.39,89954180.07,9946121181
Wrapped-Bitcoin,8/23/2024,8/24/2024,60368.53,64726.04,60368.53,63842.89,83807866.94,9593892737
Wrapped-Bitcoin,8/22/2024,8/23/2024,61156.13,61348.2,59885.67,60367.39,105396330.4,9431035246
Wrapped-Bitcoin,8/21/2024,8/22/2024,59097.67,61795.95,58802.41,61035.89,168439802.7,9299165207
Wrapped-Bitcoin,8/20/2024,8/21/2024,59352.18,61239.42,58671.91,59038.06,133335688.8,9335228309
Wrapped-Bitcoin,8/19/2024,8/20/2024,58316.9,59473.93,57905.09,59473.93,67506855.92,9110126612
Wrapped-Bitcoin,8/18/2024,8/19/2024,59443.69,60081.09,58389.26,58389.26,49137420.99,9265625541
Wrapped-Bitcoin,8/17/2024,8/18/2024,58856.35,59603.67,58805.21,59353.26,62248532.84,9204664640
Wrapped-Bitcoin,8/16/2024,8/17/2024,57505.24,59739.46,57178.09,58879.43,76406443.33,9080581507
Wrapped-Bitcoin,8/15/2024,8/16/2024,58718.58,59754.78,56591.32,57630.51,112480725.8,9076225518
Wrapped-Bitcoin,8/14/2024,8/15/2024,60549.91,61436.96,58524.36,58724.03,121437571,9347811312
Wrapped-Bitcoin,8/13/2024,8/14/2024,59439.72,61490.26,58529.34,60538.61,96880200.66,9281641086
Wrapped-Bitcoin,8/12/2024,8/13/2024,58795.04,60462.64,57924.4,59342.24,103164993.3,9173023044
Wrapped-Bitcoin,8/11/2024,8/12/2024,60903.88,61602.96,58390.9,58817.86,143503439.6,9394464157
Wrapped-Bitcoin,8/10/2024,8/11/2024,60694.67,61210.14,60252.11,60898.29,64731840.19,9439679637
Wrapped-Bitcoin,8/9/2024,8/10/2024,61657.07,61657.07,59622.93,60781.08,100568787.5,9436457368
Wrapped-Bitcoin,8/8/2024,8/9/2024,55240.06,62465.6,54795.05,61788.43,78793406.59,9047750014
Wrapped-Bitcoin,8/7/2024,8/8/2024,56034.62,58037.1,54719.12,55074.55,91495320.69,8764136276
Wrapped-Bitcoin,8/6/2024,8/7/2024,54158.25,57010.3,54158.25,55919.81,186242472.8,8689266245
Wrapped-Bitcoin,8/5/2024,8/6/2024,58270.75,58270.75,49471.68,54022.5,266712713,8308352948
Wrapped-Bitcoin,8/4/2024,8/5/2024,60729.44,61063.45,57319.35,58111.25,52677321.13,9330337447
Wrapped-Bitcoin,8/3/2024,8/4/2024,61567.87,62240.68,60023.68,60792.82,89117986.52,9540313951
Wrapped-Bitcoin,8/2/2024,8/3/2024,65477.79,65620.62,61429.91,61541.45,90253791.98,9929457567
Wrapped-Bitcoin,8/1/2024,8/2/2024,64755.3,65574.31,62464.51,65391.15,53333325.63,9982921622
Wrapped-Bitcoin,7/31/2024,8/1/2024,66141.98,66848.6,64674.09,64835.05,48580296.14,10270899545
Wrapped-Bitcoin,7/30/2024,7/31/2024,66927.14,67051.85,65572.92,66280.98,156072487.3,10334203084
Wrapped-Bitcoin,7/29/2024,7/30/2024,68134.27,69952.02,66737.86,66927.93,35280820.28,10672861162
Wrapped-Bitcoin,7/28/2024,7/29/2024,67841.52,68321.05,67091.76,68231.99,48471913.39,10548268130
Wrapped-Bitcoin,7/27/2024,7/28/2024,67819.72,69350.27,66912.84,68139.6,46296683.06,10614508331
Wrapped-Bitcoin,7/26/2024,7/27/2024,65789.99,68179.21,65789.99,67864.8,110889604.4,10456059710
Wrapped-Bitcoin,7/25/2024,7/26/2024,65371.46,66004.28,63518.96,65713.69,140504622.8,10041938898
Wrapped-Bitcoin,7/24/2024,7/25/2024,65995.57,66966.76,65295.74,65368.54,199496642.4,10273974794
Wrapped-Bitcoin,7/23/2024,7/24/2024,67531.3,67682.14,65502.46,65943.82,273609606,10355008658
Wrapped-Bitcoin,7/22/2024,7/23/2024,68192.59,68391.38,66622.8,67576.65,136271617.7,10502178137
Wrapped-Bitcoin,7/21/2024,7/22/2024,67166.27,68233.34,66115.9,67957.76,36709620.77,10444836064
